datetime,open,high,low,close,volume
2023-08-06 18:30:00+00,952.25,955,944.55,947.5,10915468
2023-08-02 18:30:00+00,944.1,946.6,927.15,938.5,17055089
2023-08-03 18:30:00+00,947,954.8,934.8,950.8,12322931
2023-08-06 18:30:00+00,952.25,955,944.55,947.5,10915468
2023-08-07 18:30:00+00,950,959.85,944.25,953.2,11485521
2023-08-08 18:30:00+00,952,953.1,944.3,949.9,7687359
2023-08-09 18:30:00+00,948,951.8,937.5,940.45,13574871
2023-08-10 18:30:00+00,937.5,945.6,933,937.75,9519303
2023-08-13 18:30:00+00,935,943.2,929,940,7156747
2023-08-15 18:30:00+00,935.95,939.85,931.4,933,7370623
2023-08-16 18:30:00+00,935.95,943,932.9,937.25,9309792
2023-08-17 18:30:00+00,934.85,945.95,931.6,944,6617346
2023-08-20 18:30:00+00,944.2,954.2,944,951.5,6814595
2023-08-21 18:30:00+00,953.85,958.85,948.7,958,10842042
2023-08-22 18:30:00+00,962,980.45,958.8,977.25,12531571
2023-08-23 18:30:00+00,984.8,994.2,979.15,982.1,11879112
2023-08-24 18:30:00+00,974,988.2,970.8,982,6203388
2023-08-27 18:30:00+00,980.1,992.4,980.1,986.5,8413161
2023-08-27 18:30:00+00,980.1,992.4,980.1,986.5,8413161
2023-08-28 18:30:00+00,990.2,990.2,977.5,981.85,8084980
2023-08-30 18:30:00+00,981.8,994.7,969.25,972,21532375
2023-08-31 18:30:00+00,974.25,992.95,969.05,990.15,10933417
2023-09-03 18:30:00+00,993.75,994.55,980,982.25,6727188
2023-09-04 18:30:00+00,985.45,986.2,977.9,981.45,10548660
2023-09-05 18:30:00+00,981.45,983.15,961.8,965.05,16351052
2023-09-06 18:30:00+00,965.05,979.8,963.1,978.2,8686550
2023-09-07 18:30:00+00,978.2,987.3,972.5,980.3,6439351
2023-09-10 18:30:00+00,981.8,1004,979,1000.4,7130484
2023-09-11 18:30:00+00,1010,1010,998.05,1000.9,8958327
2023-09-12 18:30:00+00,1002.95,1017,993.7,1014.45,12254423
2023-09-13 18:30:00+00,1014.45,1022.4,1009.05,1020.9,7855558
2023-09-14 18:30:00+00,1021,1031.75,1014.55,1027.15,8986157
2023-09-17 18:30:00+00,1021.55,1029.9,1019,1024.75,6397319
2023-09-19 18:30:00+00,1012.3,1047.5,1012.3,1027.3,13619788
2023-09-20 18:30:00+00,1026.6,1033.6,1012.1,1014.45,8156588
2023-09-21 18:30:00+00,1010,1027.25,1008,1018.25,7108110
2023-09-21 18:30:00+00,1010,1027.25,1008,1018.25,7108110
2023-09-24 18:30:00+00,1015.2,1026,1005.15,1018.95,7123890
2023-09-25 18:30:00+00,1019,1020.7,1011,1014.15,6387615
2023-09-26 18:30:00+00,1009.95,1027.95,1004,1025.2,5158686
2023-09-27 18:30:00+00,1027,1037.95,1025.2,1030.9,15818489
2023-09-28 18:30:00+00,1030.9,1041,1024.5,1036.7,9528626
2023-09-21 18:30:00+00,1010,1027.25,1008,1018.25,7108110
2023-10-02 18:30:00+00,1035,1044.7,1032.6,1041.05,11589322
2023-10-03 18:30:00+00,1035.35,1037,988.85,995.55,22584212
2023-10-04 18:30:00+00,1000,1009.2,988.9,1003.25,7950412
2023-10-05 18:30:00+00,1005,1008,999.4,1000.95,5289753
2023-10-08 18:30:00+00,994.8,999.7,988.25,996.25,6823214
2023-10-09 18:30:00+00,999.9,1014.95,996.5,1012.25,5728499
2023-10-10 18:30:00+00,1019,1025.65,1012,1019.1,7396783
2023-10-11 18:30:00+00,1022,1031,1014.95,1018.45,4920222
2023-10-12 18:30:00+00,1009,1011.45,992.25,994.05,12173162
2023-10-15 18:30:00+00,990,1009.45,990,1004.8,4646960
2023-10-16 18:30:00+00,1008.85,1014.7,1003.1,1008.05,6105067
2023-10-17 18:30:00+00,1010,1014.1,989.35,992.85,7818946
2023-10-18 18:30:00+00,979.7,999,979.7,991.4,4836625
2023-10-19 18:30:00+00,989,992.9,977.75,980.35,5664400
2023-10-22 18:30:00+00,980,984.9,961.1,964.3,5896695
2023-10-22 18:30:00+00,980,984.9,961.1,964.3,5896695
2023-10-24 18:30:00+00,960,974,951.4,955.45,6957048
2023-10-25 18:30:00+00,956,975,952.75,972.05,17540495
2023-10-26 18:30:00+00,980,1004.75,973.3,1002.75,13443016
2023-10-29 18:30:00+00,1002.75,1002.75,979.2,989.2,5270567
2023-10-30 18:30:00+00,998,998,978,981.85,7816805
2023-10-31 18:30:00+00,977.85,979.3,968,971.8,5703984
2023-11-01 18:30:00+00,978,988.35,974,982.95,5193982
2023-11-02 18:30:00+00,986,991.4,981.5,988.85,4268048
2023-11-02 18:30:00+00,986,991.4,981.5,988.85,4268048
