lasttradetime,open,high,low,close,openinterest,volume
2024-04-10 09:15:00,100.15,115.0,100.15,109.55,386250,65050
2024-04-10 09:16:00,107.5,107.5,104.6,105.6,386250,61650
2024-04-10 09:17:00,105.5,106.0,104.15,105.25,386250,26100
2024-04-10 09:18:00,105.0,105.45,104.0,104.75,442650,52100
2024-04-10 09:19:00,105.3,109.9,105.3,109.2,442650,34450
2024-04-10 09:20:00,108.35,112.3,108.2,111.8,442650,42100
2024-04-10 09:21:00,111.8,111.8,109.2,109.2,455900,26550
2024-04-10 09:22:00,108.7,109.75,108.0,108.3,455900,13150
2024-04-10 09:23:00,108.15,108.25,107.2,108.2,455900,14850
2024-04-10 09:24:00,108.4,108.4,101.0,101.3,481800,39850
2024-04-10 09:25:00,100.8,102.15,98.9,100.25,481800,40550
2024-04-10 09:26:00,100.25,102.85,100.0,101.3,481800,17600
2024-04-10 09:27:00,101.6,102.05,100.1,101.25,504050,16200
2024-04-10 09:28:00,101.0,102.15,100.5,100.65,504050,15500
2024-04-10 09:29:00,100.55,101.15,98.65,100.45,504050,14850
2024-04-10 09:30:00,100.4,100.4,96.8,97.95,515850,32250
2024-04-10 09:31:00,97.85,100.35,96.5,99.5,515850,26450
2024-04-10 09:32:00,99.5,99.5,96.45,98.85,515850,11250
2024-04-10 09:33:00,98.85,98.95,97.4,98.8,521000,10650
2024-04-10 09:34:00,99.15,100.25,95.5,100.1,521000,36000
2024-04-10 09:35:00,99.85,100.5,98.9,99.35,521000,11450
2024-04-10 09:36:00,99.35,103.5,99.0,101.0,526100,21250
2024-04-10 09:37:00,100.5,100.5,98.75,100.15,526100,9050
2024-04-10 09:38:00,100.15,100.15,96.7,98.55,526100,8050
2024-04-10 09:39:00,98.0,98.5,97.55,97.9,537550,10950
2024-04-10 09:40:00,97.6,97.8,95.4,97.75,537550,15550
2024-04-10 09:41:00,97.75,99.95,97.55,98.1,537550,7850
2024-04-10 09:42:00,98.1,100.3,98.1,99.0,550250,10250
2024-04-10 09:43:00,99.35,101.35,99.05,100.0,550250,15700
2024-04-10 09:44:00,100.0,100.35,97.0,97.0,550250,12650
2024-04-10 09:45:00,98.05,99.05,97.25,97.55,545050,16300
2024-04-10 09:46:00,97.55,98.65,97.0,97.0,545050,14800
2024-04-10 09:47:00,96.45,99.5,96.45,99.45,545050,16150
2024-04-10 09:48:00,99.8,100.15,99.35,100.15,556250,9350
2024-04-10 09:49:00,100.0,100.2,98.4,98.85,556250,4450
2024-04-10 09:50:00,98.5,99.5,95.95,95.95,556250,15700
2024-04-10 09:51:00,96.3,97.25,94.45,96.8,568200,22750
2024-04-10 09:52:00,96.95,99.75,96.8,99.45,568200,7300
2024-04-10 09:53:00,99.45,109.1,99.2,106.35,568200,81450
2024-04-10 09:54:00,107.15,107.15,100.05,102.6,552700,38950
2024-04-10 09:55:00,102.75,104.0,102.45,103.5,552700,15500
2024-04-10 09:56:00,103.1,106.35,103.1,103.35,552700,15200
2024-04-10 09:57:00,103.35,103.7,99.75,103.55,562900,13100
2024-04-10 09:58:00,103.45,106.0,103.4,103.4,562900,21600
2024-04-10 09:59:00,103.35,103.7,100.9,101.25,562900,6700
2024-04-10 10:00:00,100.5,104.2,97.55,103.45,571150,26650
2024-04-10 10:01:00,103.0,104.0,102.15,102.95,571150,9500
2024-04-10 10:02:00,103.4,105.25,101.85,105.25,571150,14850
2024-04-10 10:03:00,105.25,107.95,103.8,105.25,571800,35850
2024-04-10 10:04:00,105.55,107.0,104.05,106.5,571800,14100
2024-04-10 10:05:00,106.75,107.85,104.7,106.8,571800,20000
2024-04-10 10:06:00,107.45,107.45,104.75,106.05,582800,21900
2024-04-10 10:07:00,106.4,107.4,104.5,105.8,582800,15650
2024-04-10 10:08:00,105.9,106.8,104.95,104.95,582800,8800
2024-04-10 10:09:00,104.6,105.5,101.05,103.4,597150,27550
2024-04-10 10:10:00,103.15,104.05,101.35,102.85,597150,20050
2024-04-10 10:11:00,102.75,103.9,99.45,100.4,597150,18150
2024-04-10 10:12:00,100.25,102.4,100.25,101.1,595400,11450
2024-04-10 10:13:00,101.4,101.6,99.9,99.9,595400,5350
2024-04-10 10:14:00,100.65,101.0,95.75,96.8,595400,31200
2024-04-10 10:15:00,96.4,98.2,96.4,97.3,600550,12550
2024-04-10 10:16:00,97.0,97.55,94.0,96.6,600550,18500
2024-04-10 10:17:00,97.3,99.0,96.85,98.9,600550,20250
2024-04-10 10:18:00,98.7,99.65,98.0,99.65,607500,8000
2024-04-10 10:19:00,99.95,100.25,98.95,98.95,607500,8650
2024-04-10 10:20:00,98.95,101.35,98.95,101.2,607500,21850
2024-04-10 10:21:00,101.2,101.5,99.0,99.35,620750,14500
2024-04-10 10:22:00,99.3,102.5,99.3,102.45,620750,15200
2024-04-10 10:23:00,102.0,103.0,101.4,102.1,620750,18750
2024-04-10 10:24:00,102.1,102.1,100.0,100.0,617050,7050
2024-04-10 10:25:00,99.65,100.2,97.25,99.6,617050,10450
2024-04-10 10:26:00,99.55,99.6,98.5,98.5,617050,5100
2024-04-10 10:27:00,98.75,99.3,98.45,98.75,621850,7800
2024-04-10 10:28:00,99.05,99.05,97.7,98.05,621850,8250
2024-04-10 10:29:00,98.05,101.25,98.05,101.0,621850,6600
2024-04-10 10:30:00,101.2,101.2,98.5,99.85,629300,9000
2024-04-10 10:31:00,99.85,99.85,98.0,98.2,629300,9850
2024-04-10 10:32:00,98.5,99.25,98.25,99.0,629300,8850
2024-04-10 10:33:00,98.9,99.6,97.15,97.9,643700,31150
2024-04-10 10:34:00,97.95,98.0,96.7,97.25,643700,7300
2024-04-10 10:35:00,97.25,97.25,95.8,96.8,643700,12000
2024-04-10 10:36:00,96.8,98.95,96.35,98.05,646450,11800
2024-04-10 10:37:00,98.05,98.1,96.9,97.35,646450,4850
2024-04-10 10:38:00,97.35,97.8,97.0,97.4,646450,5800
2024-04-10 10:39:00,97.4,97.95,96.65,97.65,649200,4650
2024-04-10 10:40:00,97.65,97.65,97.0,97.1,649200,2500
2024-04-10 10:41:00,97.35,99.0,97.35,99.0,649200,8950
2024-04-10 10:42:00,98.9,98.9,95.95,97.0,653950,10050
2024-04-10 10:43:00,97.6,99.0,97.45,98.95,653950,5300
2024-04-10 10:44:00,98.8,98.8,97.25,97.45,653950,13400
2024-04-10 10:45:00,97.45,98.0,95.5,97.65,652400,12450
2024-04-10 10:46:00,97.8,98.0,96.7,97.2,652400,6450
2024-04-10 10:47:00,97.0,97.7,96.85,97.5,652400,3800
2024-04-10 10:48:00,97.5,97.75,96.95,97.3,652050,2250
2024-04-10 10:49:00,97.45,97.5,95.65,97.5,652050,13200
2024-04-10 10:50:00,97.5,98.15,97.25,97.45,652050,3550
2024-04-10 10:51:00,97.1,97.95,97.1,97.35,650600,1500
2024-04-10 10:52:00,97.35,97.8,96.4,97.8,650600,1800
2024-04-10 10:53:00,97.8,97.8,96.55,97.45,650600,4650
2024-04-10 10:54:00,97.45,98.6,97.25,98.2,654800,9050
2024-04-10 10:55:00,98.35,99.0,98.2,99.0,654800,8950
2024-04-10 10:56:00,99.0,99.2,97.65,97.8,654800,7000
2024-04-10 10:57:00,98.05,98.4,97.7,97.95,661400,5450
2024-04-10 10:58:00,98.0,98.5,97.35,97.85,661400,3350
2024-04-10 10:59:00,97.85,97.95,96.45,96.85,661400,5800
2024-04-10 11:00:00,96.85,97.35,95.0,96.05,663700,10350
2024-04-10 11:01:00,96.15,96.7,95.45,95.8,663700,9400
2024-04-10 11:02:00,96.2,96.3,95.45,95.8,663700,3850
2024-04-10 11:03:00,95.6,95.95,95.15,95.25,667250,4350
2024-04-10 11:04:00,95.25,95.45,92.45,94.45,667250,33500
2024-04-10 11:05:00,94.55,94.55,91.5,93.9,667250,19750
2024-04-10 11:06:00,93.95,93.95,91.95,92.65,680400,19850
2024-04-10 11:07:00,92.65,93.75,92.5,93.75,680400,11350
2024-04-10 11:08:00,93.7,94.7,93.7,93.7,680400,8600
2024-04-10 11:09:00,94.1,94.35,93.65,94.35,687600,13050
2024-04-10 11:10:00,94.35,94.4,93.2,94.4,687600,13200
2024-04-10 11:11:00,94.25,94.3,93.7,94.05,687600,6350
2024-04-10 11:12:00,94.0,94.4,93.8,94.05,689100,16300
2024-04-10 11:13:00,94.15,95.0,94.05,94.55,689100,9600
2024-04-10 11:14:00,94.85,95.05,94.15,94.95,689100,18800
2024-04-10 11:15:00,95.0,96.2,94.25,96.2,691400,15800
2024-04-10 11:16:00,95.65,97.9,95.65,96.1,691400,23950
2024-04-10 11:17:00,96.0,96.3,95.25,95.8,691400,6150
2024-04-10 11:18:00,95.95,97.4,95.95,97.35,689250,10800
2024-04-10 11:19:00,96.95,99.25,96.95,98.2,689250,23800
2024-04-10 11:20:00,98.4,100.8,98.35,100.8,689250,21400
2024-04-10 11:21:00,101.85,103.9,100.3,101.0,676400,43350
2024-04-10 11:22:00,102.0,103.25,101.1,101.45,676400,22900
2024-04-10 11:23:00,102.05,102.5,99.45,99.95,676400,23500
2024-04-10 11:24:00,100.75,105.5,100.3,104.6,664600,43950
2024-04-10 11:25:00,105.4,105.4,102.55,102.65,664600,44400
2024-04-10 11:26:00,103.0,103.0,100.85,102.2,664600,11550
2024-04-10 11:27:00,102.2,102.65,100.85,101.4,668500,10400
2024-04-10 11:28:00,101.65,106.7,101.65,105.65,668500,61450
2024-04-10 11:29:00,106.0,106.0,103.3,103.95,668500,20750
2024-04-10 11:30:00,104.3,104.4,102.8,103.65,664250,6600
2024-04-10 11:31:00,103.65,105.0,102.95,104.5,664250,9250
2024-04-10 11:32:00,104.5,104.95,102.6,102.9,664250,10650
2024-04-10 11:33:00,101.65,101.65,97.7,97.7,670250,45600
2024-04-10 11:34:00,96.9,99.7,96.85,99.0,670250,18500
2024-04-10 11:35:00,99.0,100.0,98.45,100.0,670250,7750
2024-04-10 11:36:00,99.95,100.2,98.55,98.6,671800,10350
2024-04-10 11:37:00,98.2,100.2,98.2,99.45,671800,7950
2024-04-10 11:38:00,99.45,99.9,98.95,98.95,671800,3400
2024-04-10 11:39:00,98.95,101.25,98.5,100.65,671800,6650
2024-04-10 11:40:00,100.35,102.85,100.15,101.95,671450,26800
2024-04-10 11:41:00,102.35,103.05,100.65,101.75,671450,9600
2024-04-10 11:42:00,101.75,102.3,100.95,101.65,671450,8200
2024-04-10 11:43:00,101.9,102.2,101.0,101.25,676450,4150
2024-04-10 11:44:00,101.25,102.25,101.0,101.7,676450,5750
2024-04-10 11:45:00,101.5,104.15,101.5,103.35,684650,12850
2024-04-10 11:46:00,103.35,103.7,102.4,103.0,684650,9900
2024-04-10 11:47:00,103.0,103.4,100.7,100.7,684650,7650
2024-04-10 11:48:00,100.8,100.9,99.1,99.45,699300,12150
2024-04-10 11:49:00,99.45,101.35,99.3,101.35,699300,8350
2024-04-10 11:50:00,101.35,103.7,101.2,103.65,699300,9800
2024-04-10 11:51:00,103.75,104.9,102.55,103.45,697800,28450
2024-04-10 11:52:00,103.95,103.95,100.25,100.3,697800,8950
2024-04-10 11:53:00,100.0,100.35,99.0,99.65,697800,15500
2024-04-10 11:54:00,99.65,100.15,98.75,99.95,698150,9800
2024-04-10 11:55:00,99.95,100.3,99.3,99.3,698150,9550
2024-04-10 11:56:00,99.3,99.35,97.3,98.1,698150,15800
2024-04-10 11:57:00,98.1,99.1,98.1,99.1,697950,3650
2024-04-10 11:58:00,99.2,101.0,99.2,100.25,697950,9700
2024-04-10 11:59:00,100.55,100.55,99.45,99.9,697950,5150
2024-04-10 12:00:00,99.9,99.9,98.85,98.9,705150,3400
2024-04-10 12:01:00,98.9,99.6,98.6,98.65,705150,4250
2024-04-10 12:02:00,98.65,99.15,98.6,98.95,705150,3550
2024-04-10 12:03:00,98.85,98.85,96.9,97.3,709800,12200
2024-04-10 12:04:00,97.55,97.95,97.0,97.0,709800,12250
2024-04-10 12:05:00,97.0,97.9,96.35,96.95,709800,15650
2024-04-10 12:06:00,97.05,97.4,96.5,97.1,715050,3950
2024-04-10 12:07:00,97.2,98.7,97.2,98.7,715050,5550
2024-04-10 12:08:00,98.6,99.0,97.85,98.3,715050,5250
2024-04-10 12:09:00,98.3,98.4,97.45,97.95,715050,1500
2024-04-10 12:10:00,97.95,98.9,97.25,98.8,712850,2000
2024-04-10 12:11:00,98.55,98.6,97.0,97.05,712850,7650
2024-04-10 12:12:00,97.05,98.25,97.05,98.25,710900,2950
2024-04-10 12:13:00,98.25,98.45,98.0,98.1,710900,1850
2024-04-10 12:14:00,98.1,98.65,97.05,97.05,710900,6800
2024-04-10 12:15:00,97.2,99.15,97.2,99.15,706150,10500
2024-04-10 12:16:00,99.15,100.0,99.0,99.8,706150,6900
2024-04-10 12:17:00,99.8,100.05,98.65,98.9,706150,9600
2024-04-10 12:18:00,98.9,99.2,97.9,98.3,706150,4200
2024-04-10 12:19:00,98.3,99.65,98.05,99.55,707450,6050
2024-04-10 12:20:00,99.55,99.8,99.0,99.0,707450,4050
2024-04-10 12:21:00,99.0,99.35,98.45,98.6,707450,4100
2024-04-10 12:22:00,98.6,99.0,98.4,99.0,706350,8350
2024-04-10 12:23:00,99.0,99.0,98.05,98.2,706350,3550
2024-04-10 12:24:00,98.2,98.35,98.0,98.35,706350,3200
2024-04-10 12:25:00,98.35,98.8,98.1,98.7,707050,1350
2024-04-10 12:26:00,98.7,100.85,98.5,99.5,707050,9850
2024-04-10 12:27:00,99.45,99.45,97.2,98.0,707050,8950
2024-04-10 12:28:00,98.0,98.15,97.45,98.15,710100,1000
2024-04-10 12:29:00,98.15,98.15,97.4,97.8,710100,3500
2024-04-10 12:30:00,97.8,97.8,96.5,96.7,710100,20550
2024-04-10 12:31:00,96.6,97.2,96.2,96.95,721750,14750
2024-04-10 12:32:00,97.2,98.1,97.15,97.7,721750,7500
2024-04-10 12:33:00,97.7,98.5,97.6,98.0,721750,9200
2024-04-10 12:34:00,98.0,98.5,97.45,98.5,742350,6650
2024-04-10 12:35:00,98.1,98.5,97.85,98.3,742350,6050
2024-04-10 12:36:00,98.3,100.35,98.25,99.4,742350,12950
2024-04-10 12:37:00,98.9,98.9,98.0,98.75,742000,3400
2024-04-10 12:38:00,98.75,99.5,98.45,99.0,742000,5200
2024-04-10 12:39:00,99.0,99.0,98.1,98.55,742000,5050
