lasttradetime,open,high,low,close,openinterest,volume
1970-01-01 11:00:00,0.0,0.0,0.0,0.0,0,0
1970-01-01 11:00:00,0.0,0.0,0.0,0.0,0,0
1970-01-01 11:00:00,0.0,0.0,0.0,0.0,0,0
1970-01-01 11:00:00,0.0,0.0,0.0,0.0,0,0
1970-01-01 11:00:00,0.0,0.0,0.0,0.0,0,0
2024-04-01 11:02:00,191.4,191.4,191.4,191.4,0,50
2024-04-01 11:03:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:04:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:05:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:06:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:09:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:11:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:12:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:13:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:14:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:15:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:16:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:17:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:18:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:19:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:20:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:21:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:23:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:24:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:25:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:26:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:27:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:28:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:29:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:30:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:31:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:32:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:33:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:34:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:35:00,191.4,191.4,191.4,191.4,0,0
2024-04-01 11:36:00,191.4,191.4,188.2,188.2,50,50
2024-04-01 11:37:00,188.2,188.2,188.2,188.2,50,0
2024-04-01 11:38:00,188.2,188.2,188.2,188.2,50,0
2024-04-01 11:39:00,188.2,188.2,188.2,188.2,50,0
