close,exchange,high,instrumentidentifier,tradedqty,lasttradetime,low,open,openinterest
119.65,NFO,123.05,NIFTY25MAY2318500PE,99400,2023-05-23 09:39:00+00,118.2,121.7,2282400
24.5,NFO,24.8,NIFTY25MAY2318500CE,462400,2023-05-23 09:39:00+00,23.5,23.9,10093200
118.75,NFO,120.35,NIFTY25MAY2318500PE,143500,2023-05-23 09:40:00+00,117,118.95,2282400
24.25,NFO,24.8,NIFTY25MAY2318500CE,539650,2023-05-23 09:40:00+00,23.95,24.55,10093200
24.55,NFO,25,NIFTY25MAY2318500CE,589800,2023-05-23 09:41:00+00,24.05,24.05,10163950
117.65,NFO,119.3,NIFTY25MAY2318500PE,120400,2023-05-23 09:41:00+00,115.75,119,2366550
115.05,NFO,118,NIFTY25MAY2318500PE,92450,2023-05-23 09:42:00+00,114.6,117.6,2366550
25.6,NFO,25.6,NIFTY25MAY2318500CE,787150,2023-05-23 09:42:00+00,24.5,24.5,10163950
25.5,NFO,26.3,NIFTY25MAY2318500CE,1138050,2023-05-23 09:43:00+00,25.4,25.65,10163950
116.7,NFO,116.7,NIFTY25MAY2318500PE,109000,2023-05-23 09:43:00+00,113.4,114.8,2366550
25.7,NFO,26,NIFTY25MAY2318500CE,617900,2023-05-23 09:44:00+00,25.15,25.65,9905200
116,NFO,117.15,NIFTY25MAY2318500PE,71500,2023-05-23 09:44:00+00,115.25,116.2,2443450
25.3,NFO,26.1,NIFTY25MAY2318500CE,393850,2023-05-23 09:45:00+00,25.3,25.7,9905200
116.6,NFO,116.6,NIFTY25MAY2318500PE,73450,2023-05-23 09:45:00+00,114.45,115.65,2443450
118.4,NFO,119.15,NIFTY25MAY2318500PE,129650,2023-05-23 09:46:00+00,116.5,116.8,2443450
24.45,NFO,25.25,NIFTY25MAY2318500CE,533350,2023-05-23 09:46:00+00,24.1,24.95,9905200
116.65,NFO,117.5,NIFTY25MAY2318500PE,95600,2023-05-23 09:47:00+00,114.4,117.5,2466600
24.9,NFO,25.7,NIFTY25MAY2318500CE,553750,2023-05-23 09:47:00+00,24.85,24.9,9891350
23.1,NFO,25.25,NIFTY25MAY2318500CE,804800,2023-05-23 09:48:00+00,22.9,24.8,9891350
122,NFO,122.45,NIFTY25MAY2318500PE,209850,2023-05-23 09:48:00+00,115.65,117,2466600
23.65,NFO,24.95,NIFTY25MAY2318500CE,612000,2023-05-23 09:49:00+00,22.9,23,9891350
120.15,NFO,122.35,NIFTY25MAY2318500PE,148850,2023-05-23 09:49:00+00,115.8,121.9,2466600
122.05,NFO,123.75,NIFTY25MAY2318500PE,210750,2023-05-23 09:50:00+00,118,120.45,2553750
23.05,NFO,24.4,NIFTY25MAY2318500CE,604400,2023-05-23 09:50:00+00,22.25,23.6,9922000
