Open,High,Low,Close,Volume
144.75,147.0,138.3,141.95,7111
139.95,141.8,136.65,139.8,5600
139.95,141.4,134.25,134.55,5925
135.15,135.6,128.35,128.9,8047
127.9,130.9,125.05,129.85,9234
129.55,134.35,128.95,131.5,7514
132.0,133.6,127.5,130.1,4592
130.15,134.75,129.15,134.75,3228
134.6,137.4,134.35,135.55,5381
135.95,139.95,135.3,137.6,4281
136.2,141.1,135.45,138.25,5957
137.9,143.95,137.9,141.55,4951
141.55,146.05,141.55,145.85,4609
145.15,149.05,145.15,147.3,4997
147.4,150.55,147.4,147.7,4180
147.85,524.0,0.5,149.75,7928
150.5,154.0,149.2,150.25,3629
149.95,151.0,147.1,147.1,3067
147.7,154.25,147.7,154.25,3243
153.1,154.65,151.4,151.4,2634
151.1,153.25,148.15,148.45,3324
148.65,149.5,144.7,149.5,3848
147.6,148.85,143.5,144.35,2376
143.6,149.0,143.0,147.25,2303
148.35,152.65,148.35,150.0,3636
149.8,154.05,149.8,151.9,2918
151.45,157.3,151.45,155.35,4295
155.1,157.0,153.1,153.1,2850
153.05,153.7,148.8,152.65,2937
152.15,154.8,149.35,149.75,1612
150.0,152.35,147.95,148.4,1284
148.85,152.95,148.85,151.35,1716
151.25,154.25,150.9,153.95,1712
154.0,156.75,151.65,156.05,2083
156.95,156.95,153.05,154.05,1653
153.75,156.55,153.55,155.0,1345
154.55,155.1,150.85,151.1,1712
151.5,154.75,151.25,153.7,1089
154.15,156.0,151.95,152.3,1526
152.05,154.65,151.65,153.1,1702
153.4,155.05,149.8,151.65,2302
151.65,152.0,149.7,149.75,1267
151.3,151.3,145.9,150.35,3005
150.2,150.2,143.9,144.35,3239
143.85,145.45,141.3,145.35,3773
145.35,145.35,141.9,142.05,2509
142.85,148.55,142.45,148.05,3937
148.5,149.9,145.8,146.0,2473
146.15,149.4,145.65,148.45,1685
148.85,150.0,145.7,146.35,2244
146.6,147.6,141.6,143.1,3062
142.85,145.5,141.5,143.75,3350
144.1,144.5,141.35,142.9,3581
143.3,144.3,139.4,139.75,3744
140.35,143.9,138.4,142.45,3344
142.15,142.15,132.35,132.9,5896
132.25,135.3,128.85,130.2,6576
130.75,131.15,123.45,123.75,6103
123.4,125.45,120.75,124.9,4749
124.7,127.5,124.4,125.05,3807
124.9,126.35,123.5,124.95,2851
124.8,129.55,124.6,129.55,2948
128.75,131.85,127.4,130.9,2973
131.5,133.0,129.15,129.15,2918
129.6,134.15,129.3,133.0,2558
132.5,134.65,132.3,132.45,3035
133.0,135.85,131.15,135.35,2705
135.6,136.0,131.75,133.2,3241
133.2,136.0,132.5,135.1,2063
135.45,135.45,130.8,133.8,2181
133.75,134.0,130.9,132.15,1352
132.1,136.0,132.1,135.05,2712
135.0,136.9,132.05,133.2,3066
132.75,133.05,127.3,129.15,3701
129.2,132.9,128.25,129.75,1868
130.5,130.5,128.35,129.35,1076
130.35,131.65,129.35,130.25,1329
130.55,130.75,128.05,130.15,1194
130.5,130.5,124.6,124.8,4881
127.15,129.95,125.2,128.85,2054
129.25,133.6,129.25,132.75,2959
133.0,133.45,130.85,132.75,1837
132.55,135.15,132.55,134.8,2426
134.65,136.5,134.0,136.15,2520
137.5,138.6,135.3,136.6,3917
135.9,139.1,134.9,136.0,2821
135.95,138.1,135.75,137.65,1980
137.5,142.75,136.8,142.15,4283
142.3,149.1,140.9,147.2,8616
147.7,149.7,146.0,147.9,5109
147.55,153.85,147.55,153.85,8418
153.05,154.9,148.25,150.9,6475
151.2,154.0,148.5,149.45,5045
149.95,151.4,148.0,148.5,3305
148.45,149.4,142.6,144.0,4317
144.65,146.1,141.05,142.1,3283
141.8,142.55,137.4,138.2,3761
137.95,142.4,137.95,142.4,2940
141.45,142.45,139.6,142.15,2176
141.25,142.15,137.6,138.25,2056
139.45,141.85,136.9,140.9,2326
140.3,146.75,140.2,145.05,4420
144.7,146.75,144.0,144.3,2292
144.7,144.7,141.15,144.3,2122
144.4,148.85,144.4,147.95,3068
147.85,148.4,146.15,147.1,2571
147.05,148.5,143.2,144.2,2472
144.25,144.9,138.45,140.55,3013
141.15,142.7,134.1,134.1,4028
136.3,137.05,128.5,130.55,5265
131.3,136.3,129.15,136.3,3425
136.7,141.5,132.95,140.95,3435
139.8,146.3,138.15,145.0,3584
145.0,147.15,142.2,142.2,6586
142.75,146.4,142.35,143.35,2469
143.35,147.6,141.35,147.4,3443
147.5,149.9,142.1,143.0,4733
142.9,151.65,142.9,150.35,4105
149.9,155.0,148.8,150.9,5387
152.15,154.0,150.9,153.6,3140
153.45,157.9,150.4,157.9,7890
158.6,159.4,147.25,148.7,8392
149.15,151.4,146.75,148.4,3879
148.0,148.35,144.75,146.5,3476
147.0,149.45,146.7,149.35,2231
149.2,154.45,148.7,152.7,4238
152.7,157.4,152.7,155.9,4439
155.9,157.75,153.5,156.25,4041
156.3,164.85,156.3,164.75,10402
164.15,168.25,161.85,166.95,8383
166.65,169.05,160.75,161.45,8103
163.0,166.1,158.5,158.5,4527
159.6,164.05,157.2,157.5,3885
157.05,160.5,153.5,154.25,3490
153.35,155.0,149.4,149.4,4623
149.55,153.35,149.55,153.35,2853
153.65,155.15,150.0,150.0,2580
150.4,150.85,136.2,138.65,7795
138.05,142.0,137.45,139.6,4281
139.55,141.0,133.5,138.5,6858
139.35,140.7,136.95,138.6,5787
138.55,141.35,136.5,136.9,4899
137.9,141.0,135.7,140.6,4881
140.6,142.4,134.95,134.95,5952
135.05,139.15,134.35,137.6,4427
137.2,142.2,137.2,142.2,4666
142.3,148.7,142.15,148.7,8151
148.95,148.95,142.5,143.75,4551
143.95,143.95,139.6,141.05,2959
140.6,146.5,139.5,146.4,2310
146.45,148.45,142.05,142.3,4280
142.45,145.9,142.1,142.45,2192
142.25,143.7,139.55,140.1,3073
140.15,140.3,134.6,136.55,4665
136.8,137.9,135.3,136.85,2219
137.35,139.7,131.1,131.1,6555
130.65,136.15,128.4,134.45,8170
134.7,140.35,134.0,140.25,5620
139.25,141.95,138.45,140.85,5445
140.45,141.2,137.1,138.3,2459
138.0,140.6,134.45,135.55,3270
134.65,141.85,134.65,140.6,3105
140.95,142.0,138.0,141.65,2904
141.75,142.15,137.7,137.7,2497
137.25,138.2,133.0,134.85,3248
135.3,137.55,131.0,131.0,3852
131.2,136.3,131.15,133.0,3085
132.6,133.65,129.65,130.15,3892
131.1,132.35,127.45,130.6,3190
130.0,132.4,128.3,128.3,3214
129.4,134.4,128.9,132.7,3534
133.4,134.25,131.55,133.4,2172
133.8,134.4,130.6,133.95,2425
133.75,134.65,131.15,132.65,2548
133.2,133.75,123.9,126.0,7197
126.95,135.4,126.95,132.4,7360
132.6,146.1,132.6,146.1,13632
145.2,146.05,137.5,140.65,8408
139.75,144.5,139.1,142.5,5317
143.2,143.85,138.4,140.25,3896
141.65,143.4,136.75,136.75,4443
136.15,143.95,136.15,139.8,4199
140.35,142.75,139.85,141.05,2511
142.6,143.35,138.9,139.85,2854
140.75,141.55,135.55,137.95,3435
139.85,140.5,132.9,134.3,4866
134.9,134.9,123.6,126.95,6440
127.35,127.55,117.45,117.45,6956
118.75,123.55,118.75,121.9,4404
123.0,123.8,119.3,120.85,3230
121.45,123.6,120.8,122.7,4836
122.5,123.05,120.85,121.45,3342
121.95,121.95,119.4,120.25,3998
120.55,121.8,115.95,118.65,4262
118.55,119.5,117.1,119.5,3007
119.7,123.9,119.15,121.65,4153
121.7,125.15,121.5,124.85,2903
125.2,126.3,123.85,126.2,3890
126.4,127.15,125.6,126.55,3345
125.65,129.8,125.45,129.05,3539
130.0,133.25,130.0,132.8,4757
132.65,133.0,128.25,128.25,3012
128.25,129.4,127.55,128.5,2290
128.6,131.9,128.2,131.0,3728
131.0,131.2,129.0,129.05,3883
