close,exchange,high,instrumentidentifier,tradedqty,lasttradetime,low,open,openinterest
245.9,NFO,256.55,NIFTY18JAN2421650CE,140550,2024-01-12 10:10:00+00,243.95,252.85,1178600
248.45,NFO,249.2,NIFTY18JAN2421650CE,68000,2024-01-12 10:11:00+00,244.45,246.15,1107150
238.8,NFO,251.4,NIFTY18JAN2421650CE,63350,2024-01-12 10:12:00+00,238.8,248.35,1107150
247.65,NFO,250.2,NIFTY18JAN2421650CE,41200,2024-01-12 10:13:00+00,239.55,239.55,1107150
245.4,NFO,247.1,NIFTY18JAN2421650CE,21800,2024-01-12 10:14:00+00,240.5,247.05,1100950
247.1,NFO,248.4,NIFTY18JAN2421650CE,24800,2024-01-12 10:15:00+00,242.05,245.55,1100950
243.5,NFO,249.9,NIFTY18JAN2421650CE,31600,2024-01-12 10:16:00+00,242.9,248.3,1100950
244.95,NFO,247.1,NIFTY18JAN2421650CE,18200,2024-01-12 10:17:00+00,241.95,242.1,1090850
241.4,NFO,246.3,NIFTY18JAN2421650CE,15000,2024-01-12 10:18:00+00,240.95,244.05,1090850
241.15,NFO,244.55,NIFTY18JAN2421650CE,13650,2024-01-12 10:19:00+00,240.35,240.7,1090850
248.65,NFO,249.85,NIFTY18JAN2421650CE,38550,2024-01-12 10:20:00+00,237.5,241.15,1082050
244.45,NFO,252.8,NIFTY18JAN2421650CE,48500,2024-01-12 10:21:00+00,243.65,248.0,1082050
243.45,NFO,245.3,NIFTY18JAN2421650CE,13850,2024-01-12 10:22:00+00,240.55,243.7,1082050
246.7,NFO,246.7,NIFTY18JAN2421650CE,11250,2024-01-12 10:23:00+00,241.65,243.65,1061100
246.25,NFO,247.55,NIFTY18JAN2421650CE,17350,2024-01-12 10:24:00+00,244.4,246.55,1061100
247.8,NFO,250.85,NIFTY18JAN2421650CE,42450,2024-01-12 10:25:00+00,243.2,246.35,1061100
260.55,NFO,263.6,NIFTY18JAN2421650CE,110850,2024-01-12 10:26:00+00,247.5,247.5,1049900
269.3,NFO,272.5,NIFTY18JAN2421650CE,74250,2024-01-12 10:27:00+00,262.7,263.0,1049900
269.6,NFO,276.0,NIFTY18JAN2421650CE,53000,2024-01-12 10:28:00+00,268.7,269.9,1049900
260.7,NFO,271.75,NIFTY18JAN2421650CE,42650,2024-01-12 10:29:00+00,258.1,270.15,1036450
258.9,NFO,264.6,NIFTY18JAN2421650CE,40450,2024-01-12 10:30:00+00,251.7,260.05,1036450
254.3,NFO,259.85,NIFTY18JAN2421650CE,29650,2024-01-12 10:31:00+00,252.8,258.35,1036450
247.3,NFO,254.95,NIFTY18JAN2421650CE,46050,2024-01-12 10:32:00+00,246.35,254.95,1026000
253.1,NFO,256.6,NIFTY18JAN2421650CE,28000,2024-01-12 10:33:00+00,247.7,247.7,1026000
254.8,NFO,255.7,NIFTY18JAN2421650CE,16400,2024-01-12 10:34:00+00,250.0,253.1,1026000
254.35,NFO,254.8,NIFTY18JAN2421650CE,6900,2024-01-12 10:35:00+00,252.4,254.8,1022200
261.8,NFO,262.65,NIFTY18JAN2421650CE,22300,2024-01-12 10:36:00+00,254.6,254.6,1022200
259.25,NFO,264.75,NIFTY18JAN2421650CE,15550,2024-01-12 10:37:00+00,259.05,261.8,1022200
261.7,NFO,262.15,NIFTY18JAN2421650CE,10250,2024-01-12 10:38:00+00,258.35,260.25,1021150
265.0,NFO,266.3,NIFTY18JAN2421650CE,18800,2024-01-12 10:39:00+00,260.35,261.7,1021150
278.0,NFO,278.0,NIFTY18JAN2421650CE,41000,2024-01-12 10:40:00+00,264.75,264.75,1021150
268.85,NFO,280.8,NIFTY18JAN2421650CE,54600,2024-01-12 10:41:00+00,264.95,277.95,1014150
262.35,NFO,267.3,NIFTY18JAN2421650CE,15950,2024-01-12 10:42:00+00,260.6,267.3,1014150
266.4,NFO,266.5,NIFTY18JAN2421650CE,11200,2024-01-12 10:43:00+00,261.35,262.35,1014150
265.35,NFO,268.75,NIFTY18JAN2421650CE,9650,2024-01-12 10:44:00+00,265.1,266.4,1012400
262.4,NFO,266.0,NIFTY18JAN2421650CE,8650,2024-01-12 10:45:00+00,261.65,265.0,1012400
272.65,NFO,272.65,NIFTY18JAN2421650CE,15700,2024-01-12 10:46:00+00,262.4,262.4,1012400
273.0,NFO,277.25,NIFTY18JAN2421650CE,29400,2024-01-12 10:47:00+00,271.4,272.65,1005400
271.55,NFO,273.75,NIFTY18JAN2421650CE,11450,2024-01-12 10:48:00+00,268.75,273.0,1005400
268.05,NFO,274.1,NIFTY18JAN2421650CE,5000,2024-01-12 10:49:00+00,268.05,271.55,1005400
274.4,NFO,274.8,NIFTY18JAN2421650CE,16900,2024-01-12 10:50:00+00,265.7,268.4,1007250
274.5,NFO,275.9,NIFTY18JAN2421650CE,20500,2024-01-12 10:51:00+00,270.05,273.55,1007250
267.0,NFO,274.3,NIFTY18JAN2421650CE,11650,2024-01-12 10:52:00+00,265.8,273.85,1007250
264.15,NFO,267.85,NIFTY18JAN2421650CE,13700,2024-01-12 10:53:00+00,263.3,266.4,1001900
266.05,NFO,266.15,NIFTY18JAN2421650CE,18050,2024-01-12 10:54:00+00,260.8,264.1,1001900
267.45,NFO,267.95,NIFTY18JAN2421650CE,9450,2024-01-12 10:55:00+00,264.0,265.55,1001900
269.0,NFO,273.4,NIFTY18JAN2421650CE,12100,2024-01-12 10:56:00+00,267.45,267.45,1000000
273.45,NFO,273.45,NIFTY18JAN2421650CE,13900,2024-01-12 10:57:00+00,266.65,269.3,1000000
275.4,NFO,276.35,NIFTY18JAN2421650CE,20050,2024-01-12 10:58:00+00,269.55,272.35,1000000
274.95,NFO,277.2,NIFTY18JAN2421650CE,16050,2024-01-12 10:59:00+00,274.3,276.25,994650
285.6,NFO,287.15,NIFTY18JAN2421650CE,59050,2024-01-12 11:00:00+00,276.0,276.0,994650
271.45,NFO,287.4,NIFTY18JAN2421650CE,40100,2024-01-12 11:01:00+00,270.2,285.1,994650
272.7,NFO,273.6,NIFTY18JAN2421650CE,14550,2024-01-12 11:02:00+00,268.0,271.6,974700
270.8,NFO,276.7,NIFTY18JAN2421650CE,12600,2024-01-12 11:03:00+00,269.3,272.7,974700
267.85,NFO,272.25,NIFTY18JAN2421650CE,11800,2024-01-12 11:04:00+00,266.0,270.8,974700
269.45,NFO,271.2,NIFTY18JAN2421650CE,14850,2024-01-12 11:05:00+00,265.0,267.85,979500
266.0,NFO,269.45,NIFTY18JAN2421650CE,7400,2024-01-12 11:06:00+00,265.0,269.45,979500
261.1,NFO,265.25,NIFTY18JAN2421650CE,16550,2024-01-12 11:07:00+00,260.75,265.25,979500
259.85,NFO,261.45,NIFTY18JAN2421650CE,21000,2024-01-12 11:08:00+00,255.85,261.4,981600
259.8,NFO,262.1,NIFTY18JAN2421650CE,9950,2024-01-12 11:09:00+00,258.85,259.65,981600
263.65,NFO,263.65,NIFTY18JAN2421650CE,11500,2024-01-12 11:10:00+00,258.0,259.8,981600
263.85,NFO,265.3,NIFTY18JAN2421650CE,7900,2024-01-12 11:11:00+00,261.6,263.95,980050
263.0,NFO,264.25,NIFTY18JAN2421650CE,4100,2024-01-12 11:12:00+00,261.3,263.85,980050
260.45,NFO,263.8,NIFTY18JAN2421650CE,4100,2024-01-12 11:13:00+00,260.45,263.0,980050
259.9,NFO,261.8,NIFTY18JAN2421650CE,9400,2024-01-12 11:14:00+00,258.35,260.45,980800
264.0,NFO,264.7,NIFTY18JAN2421650CE,8200,2024-01-12 11:15:00+00,258.65,259.45,980800
262.95,NFO,266.0,NIFTY18JAN2421650CE,9650,2024-01-12 11:16:00+00,262.75,263.85,980800
265.6,NFO,266.0,NIFTY18JAN2421650CE,7050,2024-01-12 11:17:00+00,264.15,264.15,988050
