lasttradetime,open,high,low,close,tradedqty
2024-01-31 09:15:00+00:00,244.18094,250.14505,234.88716,241.81992,270908.88
2024-01-31 09:16:00+00:00,246.83267,252.93748,237.84062,244.68088,284684.3
2024-01-31 09:17:00+00:00,249.89647,255.92886,240.24408,247.31624,285693.16
2024-01-31 09:18:00+00:00,243.59901,249.72305,234.78796,241.68317,276650.5
2024-01-31 09:19:00+00:00,236.58289,242.37964,227.71336,234.44794,250899.73
2024-01-31 09:20:00+00:00,236.73143,242.46242,227.64232,234.40807,247992.47
2024-01-31 09:21:00+00:00,234.0997,240.05176,225.93073,232.5477,253208.86
2024-01-31 09:22:00+00:00,227.5225,233.72379,220.71849,227.15723,252120.06
2024-01-31 09:23:00+00:00,222.67969,228.67198,215.89447,222.14816,234803.62
2024-01-31 09:24:00+00:00,221.0314,226.9445,214.00899,220.32047,225363.38
2024-01-31 09:25:00+00:00,219.79921,225.79668,213.29271,219.47873,229073.0
2024-01-31 09:26:00+00:00,217.49829,223.33212,210.7215,216.87761,216560.03
2024-01-31 09:27:00+00:00,217.01355,223.05798,210.69215,216.86961,222025.06
2024-01-31 09:28:00+00:00,215.7861,221.63982,209.07625,215.20659,211170.58
2024-01-31 09:29:00+00:00,218.84998,224.68622,211.87996,218.07002,217940.2
2024-01-31 09:30:00+00:00,222.96974,228.89195,215.78372,222.12424,229382.47
2024-01-31 09:31:00+00:00,219.90886,225.84119,213.14566,219.3883,225546.69
2024-01-31 09:32:00+00:00,217.0886,222.90886,210.31363,216.45023,215011.64
2024-01-31 09:33:00+00:00,221.88261,227.83128,214.81856,221.14684,227445.73
2024-01-31 09:34:00+00:00,219.70554,225.46107,212.5622,218.77527,218631.8
2024-01-31 09:35:00+00:00,221.13977,226.9018,213.72533,220.02214,219224.67
2024-01-31 09:36:00+00:00,219.4697,225.32971,212.47322,218.72958,220132.06
2024-01-31 09:37:00+00:00,213.42732,220.69017,210.7281,216.74872,267977.94
2024-01-31 09:38:00+00:00,199.21434,205.94577,196.53539,202.12639,217033.53
2024-01-31 09:39:00+00:00,205.36517,211.6926,201.22919,206.81566,214442.66
2024-01-31 09:40:00+00:00,213.52576,219.84198,208.45569,214.44724,229735.77
2024-01-31 09:41:00+00:00,211.18213,217.19473,205.38242,211.39374,209769.34
2024-01-31 09:42:00+00:00,216.46909,222.66997,210.87563,216.86398,231198.95
2024-01-31 09:43:00+00:00,223.26292,229.66988,217.21614,223.61264,249132.94
2024-01-31 09:44:00+00:00,219.97961,226.03564,213.63803,219.78009,232043.55
2024-01-31 09:45:00+00:00,222.66125,228.62527,215.72443,222.03719,232546.31
2024-01-31 09:46:00+00:00,219.53882,225.52586,212.82944,219.1027,225039.48
2024-01-31 09:47:00+00:00,217.79822,223.6742,211.1232,217.2457,218944.9
2024-01-31 09:48:00+00:00,219.2789,225.10449,212.35619,218.54073,220512.77
2024-01-31 09:49:00+00:00,219.81302,225.66257,212.77841,219.03511,220717.55
2024-01-31 09:50:00+00:00,219.29146,225.17485,212.36618,218.60739,220496.66
2024-01-31 09:51:00+00:00,224.22269,230.27121,217.48296,223.7205,240707.6
2024-01-31 09:52:00+00:00,225.51683,231.73346,218.83426,225.27754,247015.28
2024-01-31 09:53:00+00:00,219.1233,225.16777,212.79082,218.99757,229807.48
2024-01-31 09:54:00+00:00,221.84732,227.79416,214.88272,221.2004,229197.1
2024-01-31 09:55:00+00:00,221.10172,226.9774,214.03925,220.33339,224992.98
2024-01-31 09:56:00+00:00,231.81256,238.3934,225.53787,232.07709,275959.47
2024-01-31 09:57:00+00:00,226.76772,232.82875,219.60526,226.04622,243526.84
2024-01-31 09:58:00+00:00,220.95714,227.00298,214.30629,220.61285,231153.75
2024-01-31 09:59:00+00:00,219.8146,226.03401,213.90215,220.0862,238843.69
2024-01-31 10:00:00+00:00,214.93117,220.80911,208.44957,214.56613,212222.88
2024-01-31 10:01:00+00:00,214.09248,219.99063,207.78204,213.84695,211854.03
2024-01-31 10:02:00+00:00,211.55293,217.7513,206.1903,212.20645,218083.12
2024-01-31 10:03:00+00:00,206.75821,213.34256,202.90826,208.80878,225748.64
2024-01-31 10:04:00+00:00,207.18613,213.39514,202.4883,208.15546,211857.31
2024-01-31 10:05:00+00:00,211.24936,217.20032,205.31839,211.3168,207855.27
2024-01-31 10:06:00+00:00,212.90279,218.88521,206.9539,212.92216,212952.92
2024-01-31 10:07:00+00:00,216.23601,222.12935,209.76259,215.87161,216917.08
2024-01-31 10:08:00+00:00,216.51913,222.42525,209.9281,216.10588,216173.83
2024-01-31 10:09:00+00:00,216.95619,222.94347,210.49237,216.7011,219801.11
2024-01-31 10:10:00+00:00,214.89946,221.02107,209.00433,215.14693,221676.52
2024-01-31 10:11:00+00:00,213.05249,219.095,207.3573,213.30794,217789.72
2024-01-31 10:12:00+00:00,210.60056,216.53519,204.63454,210.59248,204607.73
2024-01-31 10:13:00+00:00,208.52716,214.36,202.5015,208.39908,196233.95
2024-01-31 10:14:00+00:00,207.6072,213.4781,201.75537,207.63507,195810.42
2024-01-31 10:15:00+00:00,205.62889,211.77808,200.70879,206.53464,203859.34
2024-01-31 10:16:00+00:00,204.90434,210.94284,199.71796,205.50177,196610.8
2024-01-31 10:17:00+00:00,203.57857,210.18504,200.22069,205.91641,221702.39
2024-01-31 10:18:00+00:00,203.28667,209.6677,199.25485,204.9225,209195.67
2024-01-31 10:19:00+00:00,198.66132,204.93195,194.7073,200.28864,194125.9
2024-01-31 10:20:00+00:00,201.35638,207.63626,197.2424,202.83058,200740.38
2024-01-31 10:21:00+00:00,199.95035,206.06378,195.45248,201.06874,189914.39
2024-01-31 10:22:00+00:00,197.14238,203.53113,193.70972,199.21759,197055.88
2024-01-31 10:23:00+00:00,195.11287,201.23561,191.09203,196.50941,179804.48
2024-01-31 10:24:00+00:00,194.28627,200.46718,190.3866,195.81956,178818.9
2024-01-31 10:25:00+00:00,193.3345,199.76474,190.31638,195.72972,190117.84
2024-01-31 10:26:00+00:00,190.69098,197.07503,187.72258,193.00293,180735.34
2024-01-31 10:27:00+00:00,190.34079,196.63097,187.16502,192.40889,175947.0
2024-01-31 10:28:00+00:00,191.73238,197.79398,187.87567,193.17154,170245.45
2024-01-31 10:29:00+00:00,198.66676,204.92563,194.80281,200.29213,195144.77
2024-01-31 10:30:00+00:00,222.79198,230.24178,219.8282,225.93861,296743.9
2024-01-31 10:31:00+00:00,225.15318,232.59247,221.66129,228.07536,297796.9
2024-01-31 10:32:00+00:00,203.5044,210.35765,200.80782,206.48767,232064.31
2024-01-31 10:33:00+00:00,194.46857,200.98398,191.38512,196.8738,192901.75
2024-01-31 10:34:00+00:00,189.54353,196.35199,187.84486,193.12375,197492.77
2024-01-31 10:35:00+00:00,187.73703,194.23395,185.21446,190.42693,177146.81
2024-01-31 10:36:00+00:00,185.615,191.87114,182.66298,187.78226,162470.92
2024-01-31 10:37:00+00:00,186.12471,192.41624,183.26933,188.34525,165453.5
2024-01-31 10:38:00+00:00,188.73866,194.98517,185.61047,190.77939,170801.66
2024-01-31 10:39:00+00:00,191.95822,198.24184,188.51753,193.87735,177760.58
2024-01-31 10:40:00+00:00,187.76689,194.09174,184.81897,190.00601,170284.53
2024-01-31 10:41:00+00:00,185.24564,191.47836,182.31496,187.38968,161353.47
2024-01-31 10:42:00+00:00,184.81216,192.37323,185.28622,190.54016,215775.7
2024-01-31 10:43:00+00:00,176.2924,183.21211,176.02145,180.69112,170949.27
