lasttradetime,open,high,low,close,tradedqty
2024-01-30 15:31:00+00:00,241.78784,248.94112,234.52316,241.33492,274688.5
2024-01-30 15:32:00+00:00,244.96571,252.22455,237.44493,244.46411,284935.94
2024-01-30 15:33:00+00:00,247.87582,254.99022,240.0638,247.09448,288211.12
2024-01-30 15:34:00+00:00,241.41896,248.70343,234.12431,241.05408,277620.56
2024-01-30 15:35:00+00:00,234.21892,241.28575,227.5245,234.07434,256522.66
2024-01-30 15:36:00+00:00,234.10933,241.14725,227.41718,233.92743,254876.8
2024-01-30 15:37:00+00:00,231.98904,239.21037,225.42046,232.04152,255829.92
2024-01-30 15:38:00+00:00,226.48322,233.8151,220.22354,226.88577,250022.03
2024-01-30 15:39:00+00:00,221.4632,228.69475,215.6587,222.0633,235689.4
2024-01-30 15:40:00+00:00,219.27202,226.47859,213.6322,219.9086,228798.3
2024-01-30 15:41:00+00:00,218.66652,225.90663,213.05618,219.39496,229975.11
2024-01-30 15:42:00+00:00,215.80219,222.99048,210.40918,216.58487,220596.48
2024-01-30 15:43:00+00:00,215.65593,222.94713,210.3283,216.55399,223679.11
2024-01-30 15:44:00+00:00,213.92917,221.13873,208.79076,214.8517,216140.17
2024-01-30 15:45:00+00:00,217.01132,224.19676,211.63153,217.78084,222572.44
2024-01-30 15:46:00+00:00,221.20953,228.40962,215.4908,221.79062,232777.33
2024-01-30 15:47:00+00:00,218.46658,225.67216,212.85448,219.14912,227968.6
2024-01-30 15:48:00+00:00,215.44658,222.61131,210.11926,216.25723,219376.94
2024-01-30 15:49:00+00:00,220.14427,227.35815,214.52394,220.79144,230807.16
2024-01-30 15:50:00+00:00,217.93039,225.0465,212.37505,218.57089,223560.19
2024-01-30 15:51:00+00:00,219.06734,226.18665,213.512,219.67615,225174.83
2024-01-30 15:52:00+00:00,217.6143,224.80759,212.10725,218.315,224385.19
2024-01-30 15:53:00+00:00,215.3703,223.3302,209.76045,216.74104,248597.66
2024-01-30 15:54:00+00:00,200.78018,208.42563,196.34499,202.6101,206719.5
2024-01-30 15:55:00+00:00,205.41547,212.97531,200.85287,207.0225,209655.42
2024-01-30 15:56:00+00:00,213.47466,220.88437,208.2169,214.59048,225515.97
2024-01-30 15:57:00+00:00,210.05887,217.34134,205.07155,211.1751,211666.16
2024-01-30 15:58:00+00:00,215.88626,223.29333,210.5578,216.91504,228586.11
2024-01-30 15:59:00+00:00,222.73755,230.13997,216.82932,223.42131,245143.94
2024-01-30 16:00:00+00:00,218.93582,226.23486,213.34673,219.71523,231871.14
2024-01-30 16:01:00+00:00,221.32915,228.5205,215.52335,221.89522,234396.78
