datetime,open,high,low,close,volume
2023-04-02 18:30:00+00:00,1750.45,1754.95,1695.5,1717.45,3445637
2023-04-04 18:30:00+00:00,1717.45,1737.95,1671.55,1698.0,3690372
2023-04-05 18:30:00+00:00,1705.0,1793.65,1688.15,1754.05,6011919
2023-04-09 18:30:00+00:00,1774.0,1812.7,1760.6,1797.25,4197465
2023-04-10 18:30:00+00:00,1810.0,1829.0,1792.85,1803.15,2883361
2023-04-11 18:30:00+00:00,1814.0,1858.75,1797.05,1847.25,4808311
2023-04-12 18:30:00+00:00,1855.0,1885.0,1826.05,1870.75,3400866
2023-04-16 18:30:00+00:00,1870.75,1904.9,1847.0,1878.6,2980643
2023-04-17 18:30:00+00:00,1892.0,1902.75,1830.0,1850.95,2542347
2023-04-18 18:30:00+00:00,1847.0,1877.7,1835.0,1853.85,2455795
2023-04-19 18:30:00+00:00,1855.0,1878.9,1836.85,1842.9,2016513
2023-04-20 18:30:00+00:00,1846.0,1853.25,1796.05,1803.0,2090427
2023-04-23 18:30:00+00:00,1804.0,1817.4,1775.8,1802.0,1962509
2023-04-24 18:30:00+00:00,1806.0,1913.75,1801.8,1844.6,5363777
2023-04-25 18:30:00+00:00,1854.0,1874.0,1826.4,1847.9,2422510
2023-04-26 18:30:00+00:00,1848.0,1864.95,1832.55,1853.05,1782348
2023-04-27 18:30:00+00:00,1868.05,1944.0,1857.15,1924.95,6158256
2023-05-01 18:30:00+00:00,1935.0,1966.0,1908.0,1919.85,3813624
2023-05-02 18:30:00+00:00,1919.0,1940.0,1785.35,1839.0,5847983
2023-05-03 18:30:00+00:00,1839.05,1935.0,1839.05,1911.25,4841926
2023-05-04 18:30:00+00:00,1954.8,1955.0,1903.15,1920.3,6136858
2023-05-07 18:30:00+00:00,1920.3,1926.9,1876.0,1887.5,2834908
2023-05-08 18:30:00+00:00,1900.0,1930.0,1889.1,1896.1,2700429
2023-05-09 18:30:00+00:00,1899.0,1914.9,1883.95,1892.15,1970738
2023-05-10 18:30:00+00:00,1925.0,2013.75,1910.0,1984.65,8834193
2023-05-11 18:30:00+00:00,2009.0,2010.0,1946.55,1964.7,3815579
2023-05-14 18:30:00+00:00,1959.9,1964.7,1880.0,1916.05,4836677
2023-05-15 18:30:00+00:00,1927.0,1935.0,1881.0,1889.15,3058711
2023-05-16 18:30:00+00:00,1900.0,1919.95,1857.75,1899.5,3632561
2023-05-17 18:30:00+00:00,1910.05,1924.0,1877.2,1890.0,2437394
2023-05-18 18:30:00+00:00,1888.0,1983.0,1872.1,1956.05,7540597
2023-05-21 18:30:00+00:00,2010.0,2347.0,1983.4,2326.1,26310785
2023-05-22 18:30:00+00:00,2410.9,2759.45,2400.0,2633.7,28432078
2023-05-23 18:30:00+00:00,2709.0,2750.0,2425.35,2475.6,23464619
2023-05-24 18:30:00+00:00,2436.0,2558.8,2386.65,2537.45,8433989
2023-05-25 18:30:00+00:00,2565.0,2599.95,2535.15,2544.35,3962909
2023-05-28 18:30:00+00:00,2563.0,2583.5,2523.0,2534.05,2778179
2023-05-29 18:30:00+00:00,2529.3,2554.15,2475.15,2496.45,1736598
2023-05-30 18:30:00+00:00,2482.0,2573.0,2428.0,2493.35,4267208
2023-05-31 18:30:00+00:00,2499.9,2560.0,2485.3,2492.15,1704883
2023-06-01 18:30:00+00:00,2535.0,2538.9,2425.0,2445.05,5543250
2023-06-04 18:30:00+00:00,2463.2,2514.0,2428.0,2433.95,2956688
