lasttradetime,open,high,low,close,tradedqty
2024-04-02 10:49:00,298.1005,301.0155,294.19186,297.49924,428907.47
2024-04-02 10:50:00,296.73322,299.5951,292.81207,296.10822,428761.78
2024-04-02 10:51:00,292.5095,295.35803,288.65314,291.97134,429776.0
2024-04-02 10:52:00,287.80005,290.71988,284.02646,287.3978,431854.94
2024-04-02 10:53:00,287.5607,290.60156,283.79153,287.1819,433897.56
2024-04-02 10:54:00,286.22595,289.25507,282.40826,285.7847,434336.72
2024-04-02 10:55:00,283.2868,286.31616,279.54544,282.88193,435031.1
2024-04-02 10:56:00,285.65097,288.77972,281.87387,285.21158,435904.3
2024-04-02 10:57:00,287.32672,290.40622,283.44894,286.78815,435798.3
2024-04-02 10:58:00,288.2583,291.29434,284.32986,287.68365,436141.47
2024-04-02 10:59:00,282.63535,285.61652,278.82855,282.20227,437380.8
2024-04-02 11:00:00,280.68484,283.78772,276.98523,280.3827,438836.34
2024-04-02 11:01:00,285.1247,288.3306,281.28128,284.71317,439173.78
2024-04-02 11:02:00,286.8822,289.97955,282.86627,286.29956,438277.62
2024-04-02 11:03:00,287.04636,290.08212,283.04227,286.4724,437983.4
2024-04-02 11:04:00,289.54852,292.63327,285.61047,289.00226,437933.84
2024-04-02 11:05:00,324.71417,328.21344,319.86575,323.43942,435821.47
2024-04-02 11:06:00,313.57034,316.1984,308.3383,312.04614,430868.0
2024-04-02 11:07:00,291.21265,293.87808,286.66602,290.53732,435650.56
2024-04-02 11:08:00,294.2396,297.4803,290.3836,294.113,439664.78
2024-04-02 11:09:00,294.28036,297.3978,290.13635,293.76968,439008.06
2024-04-02 11:10:00,289.9334,292.89185,285.90268,289.35318,437653.2
2024-04-02 11:11:00,290.58386,293.62317,286.69147,290.0793,437194.7
2024-04-02 11:12:00,294.92603,298.02066,290.91934,294.31354,437089.4
2024-04-02 11:13:00,298.24075,301.25754,294.05402,297.46848,436480.34
2024-04-02 11:14:00,304.71332,307.70047,300.41132,303.83377,435664.6
2024-04-02 11:15:00,302.68918,305.52487,298.46106,301.86234,435924.06
2024-04-02 11:16:00,302.33377,305.23325,298.19183,301.6262,438790.66
2024-04-02 11:17:00,307.71704,310.723,303.5068,306.9566,441697.84
2024-04-02 11:18:00,304.36145,307.21445,300.10266,303.57947,441488.53
2024-04-02 11:19:00,301.95438,304.85938,297.8809,301.3191,442914.16
2024-04-02 11:20:00,301.99847,304.97528,297.95786,301.4052,444415.66
2024-04-02 11:21:00,298.3213,301.27222,294.29913,297.742,444808.88
2024-04-02 11:22:00,303.3368,306.40912,299.2117,302.67285,445297.44
2024-04-02 11:23:00,305.99203,308.97742,301.71457,305.1709,444219.88
2024-04-02 11:24:00,304.23654,307.12402,300.0044,303.43796,443579.56
2024-04-02 11:25:00,302.79672,305.71866,298.69016,302.12445,443886.84
2024-04-02 11:26:00,305.55725,308.55124,301.4505,304.87595,443862.25
2024-04-02 11:27:00,304.66315,307.58426,300.51028,303.93115,443630.3
2024-04-02 11:28:00,305.8624,308.8129,301.72284,305.13373,443910.56
2024-04-02 11:29:00,305.55176,308.48166,301.42606,304.8306,443996.16
2024-04-02 11:30:00,306.10043,309.03302,301.9653,305.37222,444394.8
2024-04-02 11:31:00,306.7113,309.64304,302.55316,305.97232,444853.0
2024-04-02 11:32:00,305.2614,308.1873,301.1504,304.5548,445603.94
2024-04-02 11:33:00,307.57632,310.55557,303.42505,306.8453,446183.2
2024-04-02 11:34:00,308.54425,311.47372,304.33792,307.75644,446250.1
2024-04-02 11:35:00,306.91583,309.8193,302.74802,306.16663,446978.28
2024-04-02 11:36:00,307.2204,310.176,303.07846,306.50476,447548.16
2024-04-02 11:37:00,309.2698,312.2466,305.05417,308.49982,447844.84
2024-04-02 11:38:00,308.82797,311.75464,304.58005,308.0243,447990.2
2024-04-02 11:39:00,312.95667,315.9278,308.66187,312.1097,447742.7
2024-04-02 11:40:00,316.19492,319.10953,311.80017,315.24707,446802.25
2024-04-02 11:41:00,313.35233,316.16962,309.00342,312.4556,446528.1
2024-04-02 11:42:00,309.42657,312.27304,305.24466,308.7076,447396.3
2024-04-02 11:43:00,308.32187,311.2579,304.21738,307.68597,448434.97
2024-04-02 11:44:00,305.00867,307.94427,300.89648,304.3831,449166.9
2024-04-02 11:45:00,300.79703,303.7626,296.7165,300.22684,450196.47
2024-04-02 11:46:00,304.83554,307.92587,300.68164,304.19913,450769.28
2024-04-02 11:47:00,303.31525,306.28687,299.0912,302.58182,449968.56
2024-04-02 11:48:00,305.45752,308.4624,301.2562,304.71674,449854.72
2024-04-02 11:49:00,304.36865,307.32437,300.19077,303.64572,449512.25
2024-04-02 11:50:00,308.08603,311.1073,303.86862,307.322,449432.7
2024-04-02 11:51:00,305.46793,308.37854,301.23853,304.705,449388.9
2024-04-02 11:52:00,306.41177,309.3946,302.21762,305.69592,450628.72
2024-04-02 11:53:00,308.5282,311.52716,304.30756,307.77533,451232.78
2024-04-02 11:54:00,307.39508,310.3246,303.16104,306.6211,450931.38
2024-04-02 11:55:00,306.1361,309.08527,301.98462,305.43738,451301.56
2024-04-02 11:56:00,305.23212,308.21857,301.13165,304.5801,451806.66
2024-04-02 11:57:00,303.62286,306.61707,299.53424,302.98215,452177.7
2024-04-02 11:58:00,302.9479,305.96558,298.85312,302.31738,452551.44
2024-04-02 11:59:00,301.45572,304.4786,297.37155,300.84064,452825.03
2024-04-02 12:00:00,303.2453,306.33072,299.1128,302.59268,453087.06
2024-04-02 12:01:00,301.24554,304.2685,297.10162,300.57874,452932.4
2024-04-02 12:02:00,304.26706,307.35486,300.07755,303.5645,453112.94
2024-04-02 12:03:00,304.2381,307.2531,300.02988,303.5064,452465.22
2024-04-02 12:04:00,304.22025,307.2282,300.03122,303.49634,452439.3
2024-04-02 12:05:00,305.46558,308.48358,301.3116,304.7594,452216.94
2024-04-02 12:06:00,306.40552,309.39847,302.2099,305.65488,451809.34
2024-04-02 12:07:00,304.54865,307.50052,300.38818,303.84067,451602.4
2024-04-02 12:08:00,303.4547,306.43878,299.34122,302.80597,451991.03
2024-04-02 12:09:00,299.67398,302.66397,295.63007,299.11115,452892.78
2024-04-02 12:10:00,300.05392,303.13495,296.03067,299.5051,454152.25
2024-04-02 12:11:00,298.6608,301.74338,294.58362,298.0778,454898.9
