lasttradetime,open,high,low,close,volume
2024-04-05 15:30:00,753.2294759809972,758.5108250826597,741.8524169921875,748.5167974978685,817386.5409135818
2024-04-05 15:31:00,747.2068762898447,752.5696992725134,735.9655046463013,742.7072291284799,816298.0695533752
2024-04-05 15:32:00,742.1255955576898,747.6181882321835,730.9974575042725,737.8400611907243,813893.5214567184
2024-04-05 15:33:00,736.9943527400495,742.5245671123266,725.9231352806091,732.7367585003376,813068.4865093231
2024-04-05 15:34:00,731.6853019297124,737.1577485501766,720.6873440742493,727.4405678749084,811929.1700792313
2024-04-05 15:35:00,726.4170643806459,731.8443842381239,715.5035877227783,722.2120989143848,810933.1777954102
2024-04-05 15:36:00,721.2544541656972,726.6497215479612,710.4267621040344,717.0982815444469,810348.5516023636
2024-04-05 15:37:00,716.156539207697,721.5207210630178,705.4105544090271,712.0466017723083,809809.0596199036
2024-04-05 15:38:00,711.1063288331034,716.4374115169048,700.4374408721924,707.0373371481895,809459.2234325409
2024-04-05 15:39:00,706.1020408034326,711.4006225764751,695.5074214935303,702.0715569615363,809315.0702905655
2024-04-05 15:40:00,701.14420979023,706.4111246466637,690.6212115287781,697.1516968160868,809313.50440979
2024-04-05 15:41:00,696.2318852663042,701.4684436321259,685.7779765129089,692.2759151577949,809482.9879760742
2024-04-05 15:42:00,691.3620968341829,696.569320127368,680.9745573997498,687.4411823332309,809816.15213871
2024-04-05 15:43:00,686.5322305440903,691.7106725126505,676.2090468406677,682.645062738657,810301.7594003677
2024-04-05 15:44:00,681.7403853416444,686.8909599781036,671.4791798591614,677.8857148200273,810942.9415225983
2024-04-05 15:45:00,676.9847789883614,682.1078713089228,666.783287525177,673.1612970232964,811735.0929737091
2024-04-05 15:46:00,672.2636886537076,677.359747171402,662.119402885437,668.4700866043568,812674.1608858109
2024-04-05 15:47:00,667.574619203806,672.6448689699173,657.4862146377563,663.8101826041936,813758.6714887619
2024-04-05 15:48:00,662.9165012955667,667.9613995850086,652.8819942474365,659.1803969234228,814985.4930210114
