Datetime,open,high,low,close,volume
2024-01-30 10:50:00+00,223.9,224.3,213.8,220.8,188970
2024-01-30 10:51:00+00,221.35,224.5,212.85,214.45,130200
2024-01-30 10:52:00+00,214.55,221.75,208.1,211.4,193995
2024-01-30 10:53:00+00,213.1,221.45,212.8,219.35,115305
2024-01-30 10:54:00+00,219.45,223.5,213.35,221.45,118005
2024-01-30 10:55:00+00,222.05,236.3,221.3,232.6,291060
2024-01-30 10:56:00+00,230.15,235,227.65,229.55,223980
2024-01-30 10:57:00+00,230,233.25,222,222,132315
2024-01-30 10:58:00+00,222.1,229.25,218.1,224.75,123405
2024-01-30 10:59:00+00,224.4,233.2,222,232.05,102030
2024-01-30 11:00:00+00,233.3,239.75,226,236.45,239550
2024-01-30 11:01:00+00,237.7,252.5,230.9,252.5,361440
2024-01-30 11:02:00+00,251.5,251.55,236.15,245.05,339345
2024-01-30 11:03:00+00,243.4,247,230.5,232.6,205290
2024-01-30 11:04:00+00,234.3,235.7,221.8,225.2,276330
2024-01-30 11:05:00+00,224.5,227.55,208.8,212.55,347685
2024-01-30 11:06:00+00,213.5,213.5,186.5,189.3,662250
2024-01-30 11:07:00+00,190.6,193.3,181.35,189.1,404085
2024-01-30 11:08:00+00,191.4,197.45,184.1,184.95,294210
2024-01-30 11:09:00+00,186,190.65,172.4,179.1,478020
2024-01-30 11:10:00+00,179.8,186.25,177,182.95,249960
2024-01-30 11:11:00+00,183.65,187.2,176.45,182.15,192675
2024-01-30 11:12:00+00,181.5,188.3,179.9,182.55,183780
2024-01-30 11:13:00+00,182.8,186.75,181.25,182.85,135795
2024-01-30 11:14:00+00,182.55,187.95,182.55,187.2,124470
2024-01-30 11:15:00+00,187.55,189.45,180.25,186.4,150375
2024-01-30 11:16:00+00,185.55,189.55,179.9,183.5,156750
2024-01-30 11:17:00+00,185,188.3,181.95,183.15,89685
2024-01-30 11:18:00+00,182.35,194.25,182.35,194.25,139830
2024-01-30 11:19:00+00,192.2,198.25,191.55,195.25,204495
2024-01-30 11:20:00+00,194.1,196.05,184.9,184.9,138690
2024-01-30 11:21:00+00,185.7,195,185.4,191.9,110100
2024-01-30 11:22:00+00,192.2,192.2,184.9,185.9,69165
2024-01-30 11:23:00+00,184.4,185.4,178.65,180.05,162465
2024-01-30 11:24:00+00,180,180.2,168.95,171.85,234450
2024-01-30 11:25:00+00,173.05,179.1,170.05,178.4,196515
2024-01-30 11:26:00+00,178.1,185.2,178.1,181.85,136065
2024-01-30 11:27:00+00,181.7,188.4,176.5,187.1,110580
2024-01-30 11:28:00+00,186.9,189.8,183.6,189.05,122490
2024-01-30 11:29:00+00,189.95,190.75,184.1,189.4,108750
2024-01-30 11:30:00+00,189.1,195.25,185.5,195.25,141960
