"Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnover,DeliverableQty,trade,burga,"																			
"HDFCBANK,""EQ"",""31-May-2023"",""1,636.75"",""1,629.90"",""1,634.95"",""1,604.65"",""1,611.20"",""1,610.85"",""1,613.25"",""2,16,67,135"",""34,95,45,11,959.60"",""2,91,055"",""66,42,898"",""30.66"""																			
"HDFCBANK,""EQ"",""01-Jun-2023"",""1,610.85"",""1,619.90"",""1,619.90"",""1,600.00"",""1,601.00"",""1,604.00"",""1,612.23"",""2,51,83,469"",""40,60,14,23,757.55"",""2,82,772"",""54,95,345"",""21.82"""																			
"HDFCBANK,""EQ"",""02-Jun-2023"",""1,604.00"",""1,612.45"",""1,614.80"",""1,601.00"",""1,605.50"",""1,606.50"",""1,607.62"",""89,29,855"",""14,35,58,01,663.75"",""3,16,938"",""32,88,557"",""36.83"""																			
"HDFCBANK,""EQ"",""05-Jun-2023"",""1,606.50"",""1,614.50"",""1,616.50"",""1,602.45"",""1,604.05"",""1,604.40"",""1,610.46"",""93,48,621"",""15,05,56,21,088.80"",""1,53,663"",""28,90,771"",""30.92"""																			
"HDFCBANK,""EQ"",""06-Jun-2023"",""1,604.40"",""1,607.65"",""1,609.85"",""1,592.25"",""1,605.00"",""1,599.40"",""1,598.09"",""1,60,91,426"",""25,71,56,16,381.45"",""2,33,706"",""50,98,265"",""31.68"""																			
"HDFCBANK,""EQ"",""07-Jun-2023"",""1,599.40"",""1,603.45"",""1,612.55"",""1,596.00"",""1,611.50"",""1,607.70"",""1,602.11"",""1,24,74,513"",""19,98,55,40,209.25"",""1,76,230"",""39,34,644"",""31.54"""																			
"HDFCBANK,""EQ"",""08-Jun-2023"",""1,607.70"",""1,603.25"",""1,626.00"",""1,603.25"",""1,608.35"",""1,608.70"",""1,617.05"",""1,86,97,761"",""30,23,52,56,021.30"",""2,68,888"",""53,30,369"",""28.51"""																			
"HDFCBANK,""EQ"",""09-Jun-2023"",""1,608.70"",""1,615.90"",""1,618.50"",""1,607.00"",""1,609.50"",""1,610.60"",""1,613.79"",""91,06,289"",""14,69,56,39,541.25"",""1,85,235"",""29,48,383"",""32.38"""																			
"HDFCBANK,""EQ"",""12-Jun-2023"",""1,610.60"",""1,612.55"",""1,615.80"",""1,599.45"",""1,600.90"",""1,600.80"",""1,604.34"",""67,04,146"",""10,75,57,48,258.60"",""1,56,138"",""31,88,691"",""47.56"""																			
"HDFCBANK,""EQ"",""13-Jun-2023"",""1,600.80"",""1,590.10"",""1,609.00"",""1,590.10"",""1,607.95"",""1,603.50"",""1,602.57"",""1,39,63,054"",""22,37,68,05,987.05"",""1,84,386"",""61,79,907"",""44.26"""																			
"HDFCBANK,""EQ"",""14-Jun-2023"",""1,603.50"",""1,610.45"",""1,612.00"",""1,600.20"",""1,601.75"",""1,601.75"",""1,606.76"",""1,00,56,984"",""16,15,91,16,681.25"",""1,74,004"",""44,18,111"",""43.93"""																			
"HDFCBANK,""EQ"",""15-Jun-2023"",""1,601.75"",""1,604.00"",""1,605.95"",""1,579.00"",""1,580.55"",""1,582.05"",""1,590.41"",""1,76,88,738"",""28,13,24,06,376.20"",""2,71,848"",""59,65,872"",""33.73"""																			
"HDFCBANK,""EQ"",""16-Jun-2023"",""1,582.05"",""1,587.15"",""1,609.20"",""1,584.00"",""1,602.50"",""1,602.75"",""1,598.25"",""78,89,636"",""12,60,95,94,950.00"",""1,81,546"",""42,48,458"",""53.85"""																			
"HDFCBANK,""EQ"",""19-Jun-2023"",""1,602.75"",""1,611.00"",""1,614.25"",""1,598.35"",""1,604.90"",""1,604.15"",""1,606.00"",""1,24,14,573"",""19,93,77,59,557.10"",""1,62,051"",""43,83,742"",""35.31"""																			
"HDFCBANK,""EQ"",""20-Jun-2023"",""1,604.15"",""1,604.15"",""1,611.00"",""1,590.65"",""1,609.40"",""1,607.50"",""1,599.68"",""1,00,02,813"",""16,00,12,91,895.20"",""2,87,119"",""42,73,291"",""42.72"""																			
"HDFCBANK,""EQ"",""21-Jun-2023"",""1,607.50"",""1,616.00"",""1,637.25"",""1,611.00"",""1,635.55"",""1,635.60"",""1,628.22"",""1,21,54,473"",""19,79,01,44,100.50"",""2,76,058"",""56,96,387"",""46.87"""																			
"HDFCBANK,""EQ"",""22-Jun-2023"",""1,635.60"",""1,640.00"",""1,657.55"",""1,639.05"",""1,644.80"",""1,643.60"",""1,646.70"",""2,82,98,070"",""46,59,85,24,688.10"",""3,67,511"",""1,00,15,810"",""35.39"""																			
"HDFCBANK,""EQ"",""23-Jun-2023"",""1,643.60"",""1,637.55"",""1,659.90"",""1,634.05"",""1,642.90"",""1,643.50"",""1,649.49"",""1,06,69,609"",""17,59,94,09,604.40"",""2,48,242"",""47,58,035"",""44.59"""																			
"HDFCBANK,""EQ"",""26-Jun-2023"",""1,643.50"",""1,645.00"",""1,650.75"",""1,628.70"",""1,635.70"",""1,635.55"",""1,637.33"",""80,65,157"",""13,20,53,20,442.40"",""1,99,872"",""43,28,332"",""53.67"""																			
"HDFCBANK,""EQ"",""27-Jun-2023"",""1,635.55"",""1,642.95"",""1,672.90"",""1,638.55"",""1,658.25"",""1,658.60"",""1,654.06"",""1,69,15,932"",""27,97,99,20,820.40"",""3,14,003"",""85,17,518"",""50.35"""																			
"HDFCBANK,""EQ"",""28-Jun-2023"",""1,658.60"",""1,670.00"",""1,679.90"",""1,660.50"",""1,673.10"",""1,676.15"",""1,673.30"",""2,97,81,475"",""49,83,32,44,547.95"",""4,39,006"",""1,68,87,785"",""56.71"""																			
"HDFCBANK,""EQ"",""30-Jun-2023"",""1,676.15"",""1,704.00"",""1,708.80"",""1,683.25"",""1,700.75"",""1,701.40"",""1,698.70"",""2,03,49,508"",""34,56,76,75,938.75"",""3,26,058"",""1,47,89,780"",""72.68"""																			
"HDFCBANK,""EQ"",""03-Jul-2023"",""1,701.40"",""1,712.50"",""1,757.50"",""1,710.00"",""1,721.00"",""1,719.80"",""1,733.31"",""2,20,52,058"",""38,22,31,61,666.50"",""5,40,520"",""1,15,12,012"",""52.20"""																			
"HDFCBANK,""EQ"",""04-Jul-2023"",""1,719.80"",""1,723.45"",""1,747.00"",""1,713.80"",""1,725.00"",""1,728.20"",""1,731.04"",""1,93,97,594"",""33,57,79,54,092.40"",""3,79,487"",""77,95,269"",""40.19"""																			
"HDFCBANK,""EQ"",""05-Jul-2023"",""1,728.20"",""1,716.25"",""1,720.00"",""1,668.55"",""1,676.60"",""1,673.30"",""1,681.63"",""1,85,82,877"",""31,24,95,28,816.15"",""4,77,385"",""94,31,298"",""50.75"""																			
"HDFCBANK,""EQ"",""06-Jul-2023"",""1,673.30"",""1,673.00"",""1,687.85"",""1,660.40"",""1,674.80"",""1,675.00"",""1,674.63"",""2,60,78,272"",""43,67,15,47,685.50"",""3,77,109"",""79,30,745"",""30.41"""																			
"HDFCBANK,""EQ"",""07-Jul-2023"",""1,675.00"",""1,665.00"",""1,675.00"",""1,656.30"",""1,659.90"",""1,660.40"",""1,663.54"",""99,63,168"",""16,57,41,55,973.95"",""3,20,533"",""38,63,511"",""38.78"""																			
"HDFCBANK,""EQ"",""10-Jul-2023"",""1,660.40"",""1,661.00"",""1,676.75"",""1,649.70"",""1,658.00"",""1,656.45"",""1,659.09"",""1,91,99,221"",""31,85,31,62,737.15"",""3,17,755"",""39,19,467"",""20.41"""																			
"HDFCBANK,""EQ"",""11-Jul-2023"",""1,656.45"",""1,663.00"",""1,676.00"",""1,645.50"",""1,650.00"",""1,648.40"",""1,664.90"",""2,53,35,213"",""42,18,04,75,745.65"",""3,79,237"",""74,17,565"",""29.28"""																			
"HDFCBANK,""EQ"",""12-Jul-2023"",""1,648.40"",""1,655.35"",""1,666.30"",""1,627.15"",""1,636.00"",""1,632.95"",""1,643.87"",""3,54,79,179"",""58,32,32,00,837.30"",""4,98,866"",""2,00,20,165"",""56.43"""																			
"HDFCBANK,""EQ"",""13-Jul-2023"",""1,632.95"",""1,656.70"",""1,657.45"",""1,638.05"",""1,644.55"",""1,641.10"",""1,648.62"",""2,09,56,773"",""34,54,98,48,532.65"",""4,32,632"",""54,98,771"",""26.24"""																			
"HDFCBANK,""EQ"",""14-Jul-2023"",""1,641.10"",""1,653.60"",""1,653.60"",""1,635.00"",""1,645.60"",""1,644.50"",""1,642.71"",""1,23,63,607"",""20,30,98,76,686.30"",""4,62,491"",""62,76,284"",""50.76"""																			
"HDFCBANK,""EQ"",""17-Jul-2023"",""1,644.50"",""1,650.00"",""1,682.00"",""1,633.00"",""1,678.35"",""1,678.90"",""1,660.51"",""2,46,26,464"",""40,89,25,07,962.10"",""4,35,163"",""99,84,310"",""40.54"""																			
"HDFCBANK,""W3"",""17-Jul-2023"",""557.25"",""560.00"",""612.95"",""560.00"",""612.95"",""612.95"",""588.20"",""66,600"",""3,91,73,820.00"",""95"",""59,400"",""89.19"""																			
"HDFCBANK,""BL"",""18-Jul-2023"",""1,644.50"",""1,678.90"",""1,678.90"",""1,678.90"",""1,678.90"",""1,678.90"",""1,678.90"",""2,73,810"",""45,96,99,609.00"",""1"",""-"",""-"""																			
"HDFCBANK,""EQ"",""18-Jul-2023"",""1,678.90"",""1,698.00"",""1,704.00"",""1,670.00"",""1,678.00"",""1,677.50"",""1,683.83"",""4,05,38,409"",""68,25,98,72,564.30"",""7,04,526"",""1,65,99,436"",""40.95"""																			
"HDFCBANK,""W3"",""18-Jul-2023"",""612.95"",""665.00"",""670.00"",""622.00"",""635.00"",""631.20"",""642.55"",""1,42,200"",""9,13,71,030.00"",""205"",""1,15,800"",""81.43"""																			
"HDFCBANK,""EQ"",""19-Jul-2023"",""1,677.50"",""1,681.10"",""1,688.75"",""1,675.00"",""1,684.75"",""1,685.10"",""1,682.45"",""1,64,67,567"",""27,70,59,15,264.20"",""4,27,479"",""63,04,659"",""38.29"""																			
"HDFCBANK,""W3"",""19-Jul-2023"",""631.20"",""635.00"",""647.00"",""631.00"",""645.00"",""644.75"",""636.25"",""1,37,400"",""8,74,20,150.00"",""160"",""1,12,200"",""81.66"""																			
"HDFCBANK,""EQ"",""20-Jul-2023"",""1,685.10"",""1,681.15"",""1,692.00"",""1,680.00"",""1,688.90"",""1,688.75"",""1,686.08"",""2,81,05,474"",""47,38,80,96,303.30"",""4,33,278"",""1,31,78,804"",""46.89"""																			
"HDFCBANK,""W3"",""20-Jul-2023"",""644.75"",""640.50"",""654.00"",""640.50"",""650.00"",""650.10"",""649.85"",""3,44,400"",""22,38,09,240.00"",""303"",""3,29,400"",""95.64"""																			
"HDFCBANK,""EQ"",""21-Jul-2023"",""1,688.75"",""1,680.00"",""1,689.80"",""1,673.25"",""1,677.75"",""1,675.75"",""1,680.80"",""2,10,77,124"",""35,42,64,65,573.70"",""3,37,174"",""1,13,44,016"",""53.82"""																			
"HDFCBANK,""W3"",""21-Jul-2023"",""650.10"",""650.00"",""652.00"",""635.00"",""639.00"",""638.00"",""641.15"",""3,18,600"",""20,42,71,710.00"",""294"",""2,85,000"",""89.45"""																			
"HDFCBANK,""EQ"",""24-Jul-2023"",""1,675.75"",""1,678.50"",""1,684.65"",""1,670.10"",""1,679.50"",""1,678.40"",""1,677.75"",""1,60,89,722"",""26,99,45,70,123.70"",""2,96,190"",""90,94,607"",""56.52"""																			
"HDFCBANK,""W3"",""24-Jul-2023"",""638.00"",""638.00"",""645.00"",""620.00"",""637.00"",""637.25"",""632.73"",""84,000"",""5,31,49,500.00"",""102"",""76,200"",""90.71"""																			
"HDFCBANK,""EQ"",""25-Jul-2023"",""1,678.40"",""1,684.65"",""1,699.00"",""1,678.40"",""1,694.55"",""1,696.60"",""1,692.19"",""2,79,96,298"",""47,37,50,21,905.75"",""5,34,396"",""1,01,39,007"",""36.22"""																			
"HDFCBANK,""W3"",""25-Jul-2023"",""637.25"",""640.00"",""661.90"",""640.00"",""661.00"",""660.60"",""648.78"",""4,45,200"",""28,88,38,980.00"",""609"",""3,93,600"",""88.41"""																			
"HDFCBANK,""EQ"",""26-Jul-2023"",""1,696.60"",""1,699.60"",""1,699.60"",""1,688.00"",""1,689.30"",""1,690.70"",""1,692.97"",""1,23,97,179"",""20,98,80,22,760.35"",""2,51,108"",""57,93,581"",""46.73"""																			
"HDFCBANK,""W3"",""26-Jul-2023"",""660.60"",""654.95"",""660.00"",""647.40"",""650.95"",""652.25"",""653.92"",""78,600"",""5,13,97,770.00"",""118"",""68,400"",""87.02"""																			
"HDFCBANK,""EQ"",""27-Jul-2023"",""1,690.70"",""1,699.90"",""1,703.00"",""1,667.45"",""1,676.95"",""1,673.15"",""1,681.08"",""2,98,70,651"",""50,21,48,60,523.75"",""5,06,283"",""1,42,26,217"",""47.63"""																			
"HDFCBANK,""W3"",""27-Jul-2023"",""652.25"",""669.00"",""670.50"",""624.00"",""630.00"",""630.65"",""646.87"",""76,800"",""4,96,79,310.00"",""112"",""54,600"",""71.09"""																			
"HDFCBANK,""EQ"",""28-Jul-2023"",""1,673.15"",""1,661.50"",""1,668.90"",""1,641.10"",""1,642.90"",""1,643.50"",""1,649.58"",""2,05,07,842"",""33,82,93,21,793.55"",""4,22,378"",""1,35,10,158"",""65.88"""																			
"HDFCBANK,""W3"",""28-Jul-2023"",""630.65"",""601.00"",""604.95"",""579.00"",""579.00"",""581.85"",""591.01"",""1,70,400"",""10,07,08,050.00"",""229"",""1,08,000"",""63.38"""																			
"HDFCBANK,""EQ"",""31-Jul-2023"",""1,643.50"",""1,650.05"",""1,656.80"",""1,638.70"",""1,650.00"",""1,651.20"",""1,649.01"",""1,72,82,503"",""28,49,90,54,865.30"",""4,34,555"",""94,57,401"",""54.72"""																			
"HDFCBANK,""W3"",""31-Jul-2023"",""581.85"",""585.00"",""596.25"",""580.05"",""589.00"",""591.15"",""587.10"",""1,55,400"",""9,12,34,740.00"",""240"",""1,44,600"",""93.05"""																			
"HDFCBANK,""EQ"",""01-Aug-2023"",""1,651.20"",""1,654.45"",""1,667.45"",""1,650.00"",""1,660.00"",""1,662.25"",""1,659.39"",""1,76,97,094"",""29,36,64,53,399.30"",""3,85,496"",""57,58,362"",""32.54"""																			
"HDFCBANK,""W3"",""01-Aug-2023"",""591.15"",""594.00"",""605.95"",""586.00"",""601.20"",""603.80"",""599.10"",""3,56,400"",""21,35,19,120.00"",""533"",""3,00,000"",""84.18"""																			
"HDFCBANK,""EQ"",""02-Aug-2023"",""1,662.25"",""1,642.00"",""1,651.50"",""1,633.15"",""1,641.90"",""1,640.50"",""1,644.34"",""1,40,58,161"",""23,11,63,46,478.45"",""3,80,609"",""65,88,171"",""46.86"""																			
"HDFCBANK,""W3"",""02-Aug-2023"",""603.80"",""582.00"",""589.90"",""567.25"",""579.00"",""578.20"",""581.87"",""3,02,400"",""17,59,56,540.00"",""408"",""2,88,600"",""95.44"""																			
"HDFCBANK,""EQ"",""03-Aug-2023"",""1,640.50"",""1,640.00"",""1,651.35"",""1,623.00"",""1,632.60"",""1,628.65"",""1,633.08"",""2,88,36,973"",""47,09,31,13,412.85"",""4,39,722"",""96,06,761"",""33.31"""																			
"HDFCBANK,""W3"",""03-Aug-2023"",""578.20"",""585.00"",""593.00"",""552.00"",""566.00"",""564.95"",""571.50"",""4,46,400"",""25,51,19,700.00"",""484"",""3,84,600"",""86.16"""																			
"HDFCBANK,""EQ"",""04-Aug-2023"",""1,628.65"",""1,635.15"",""1,656.50"",""1,629.25"",""1,652.85"",""1,652.20"",""1,641.73"",""1,86,94,152"",""30,69,07,12,012.15"",""3,10,206"",""57,85,079"",""30.95"""																			
"HDFCBANK,""W3"",""04-Aug-2023"",""564.95"",""568.10"",""604.00"",""563.00"",""598.00"",""598.15"",""578.06"",""6,13,800"",""35,48,16,240.00"",""155"",""5,95,200"",""96.97"""																			
"HDFCBANK,""EQ"",""07-Aug-2023"",""1,652.20"",""1,663.10"",""1,663.10"",""1,647.55"",""1,651.00"",""1,651.25"",""1,653.09"",""1,41,50,459"",""23,39,19,43,678.55"",""2,56,889"",""56,47,029"",""39.91"""																			
"HDFCBANK,""W3"",""07-Aug-2023"",""598.15"",""605.00"",""611.95"",""595.00"",""602.00"",""604.50"",""602.08"",""4,00,200"",""24,09,53,550.00"",""261"",""3,65,400"",""91.30"""																			
"HDFCBANK,""EQ"",""08-Aug-2023"",""1,651.25"",""1,651.70"",""1,655.60"",""1,642.05"",""1,649.00"",""1,649.90"",""1,650.13"",""2,18,86,914"",""36,11,62,74,511.30"",""3,00,979"",""74,01,918"",""33.82"""																			
"HDFCBANK,""W3"",""08-Aug-2023"",""604.50"",""609.00"",""609.00"",""594.05"",""600.05"",""600.50"",""601.90"",""61,800"",""3,71,97,630.00"",""60"",""49,800"",""80.58"""																			
"HDFCBANK,""EQ"",""09-Aug-2023"",""1,649.90"",""1,653.00"",""1,654.50"",""1,631.10"",""1,652.70"",""1,650.50"",""1,640.24"",""1,66,80,618"",""27,36,02,30,365.00"",""2,28,397"",""55,46,894"",""33.25"""																			
"HDFCBANK,""W3"",""09-Aug-2023"",""600.50"",""565.00"",""598.00"",""565.00"",""596.50"",""594.15"",""583.23"",""43,200"",""2,51,95,680.00"",""54"",""22,200"",""51.39"""																			
"HDFCBANK,""BL"",""10-Aug-2023"",""1,678.90"",""1,650.50"",""1,650.50"",""1,650.50"",""1,650.50"",""1,650.50"",""1,650.50"",""1,12,425"",""18,55,57,462.50"",""1"",""-"",""-"""																			
"HDFCBANK,""EQ"",""10-Aug-2023"",""1,650.50"",""1,647.05"",""1,654.25"",""1,631.00"",""1,638.00"",""1,635.85"",""1,638.99"",""2,53,90,559"",""41,61,49,59,546.45"",""3,32,263"",""68,35,898"",""26.92"""																			
"HDFCBANK,""EQ"",""11-Aug-2023"",""1,635.85"",""1,638.40"",""1,638.40"",""1,616.20"",""1,620.90"",""1,618.80"",""1,625.76"",""1,41,12,911"",""22,94,42,47,784.10"",""2,71,050"",""59,68,867"",""42.29"""																			
"HDFCBANK,""EQ"",""14-Aug-2023"",""1,618.80"",""1,611.00"",""1,615.00"",""1,600.25"",""1,608.50"",""1,610.90"",""1,608.96"",""1,56,52,205"",""25,18,37,94,816.50"",""3,49,385"",""62,96,942"",""40.23"""																			
"HDFCBANK,""EQ"",""16-Aug-2023"",""1,610.90"",""1,583.10"",""1,609.65"",""1,581.30"",""1,604.35"",""1,606.20"",""1,596.67"",""1,70,68,771"",""27,25,31,51,750.90"",""3,00,850"",""74,82,636"",""43.84"""																			
"HDFCBANK,""EQ"",""17-Aug-2023"",""1,606.20"",""1,597.60"",""1,609.90"",""1,594.00"",""1,595.00"",""1,597.30"",""1,600.21"",""2,64,42,020"",""42,31,28,60,300.10"",""4,00,922"",""94,05,436"",""35.57"""																			
"HDFCBANK,""EQ"",""18-Aug-2023"",""1,597.30"",""1,587.55"",""1,596.30"",""1,585.50"",""1,588.70"",""1,590.75"",""1,590.59"",""1,28,16,683"",""20,38,61,33,002.30"",""2,82,239"",""58,30,172"",""45.49"""																			
"HDFCBANK,""EQ"",""21-Aug-2023"",""1,590.75"",""1,600.50"",""1,600.50"",""1,587.00"",""1,587.80"",""1,589.50"",""1,593.07"",""1,09,18,635"",""17,39,41,09,160.45"",""2,41,780"",""49,67,663"",""45.50"""																			
"HDFCBANK,""EQ"",""22-Aug-2023"",""1,589.50"",""1,596.35"",""1,598.00"",""1,580.00"",""1,581.45"",""1,582.70"",""1,588.09"",""1,61,36,785"",""25,62,67,13,594.35"",""4,20,291"",""68,03,467"",""42.16"""																			
"HDFCBANK,""EQ"",""23-Aug-2023"",""1,582.70"",""1,580.00"",""1,590.55"",""1,573.25"",""1,588.50"",""1,586.60"",""1,581.99"",""1,82,49,294"",""28,87,01,23,207.45"",""3,29,674"",""1,03,07,529"",""56.48"""																			
"HDFCBANK,""EQ"",""24-Aug-2023"",""1,586.60"",""1,593.30"",""1,596.20"",""1,576.15"",""1,579.60"",""1,579.30"",""1,583.60"",""2,15,72,896"",""34,16,27,75,004.65"",""3,97,769"",""73,52,169"",""34.08"""																			
"HDFCBANK,""EQ"",""25-Aug-2023"",""1,579.30"",""1,574.55"",""1,577.50"",""1,558.40"",""1,559.20"",""1,561.50"",""1,564.93"",""1,50,34,878"",""23,52,84,89,943.80"",""3,50,735"",""87,64,737"",""58.30"""																			
"HDFCBANK,""EQ"",""28-Aug-2023"",""1,561.50"",""1,561.50"",""1,582.65"",""1,561.50"",""1,578.00"",""1,577.75"",""1,574.43"",""1,44,33,619"",""22,72,46,92,200.70"",""2,89,068"",""80,43,360"",""55.73"""																			
"HDFCBANK,""EQ"",""29-Aug-2023"",""1,577.75"",""1,589.70"",""1,592.65"",""1,581.45"",""1,591.25"",""1,590.30"",""1,588.37"",""1,77,69,466"",""28,22,44,20,149.05"",""3,41,561"",""92,26,802"",""51.93"""																			
"HDFCBANK,""EQ"",""30-Aug-2023"",""1,590.30"",""1,603.95"",""1,603.95"",""1,573.70"",""1,579.00"",""1,578.70"",""1,589.56"",""1,40,42,102"",""22,32,07,81,696.10"",""2,97,743"",""74,65,190"",""53.16"""																			
"HDFCBANK,""EQ"",""31-Aug-2023"",""1,578.70"",""1,579.00"",""1,583.15"",""1,563.10"",""1,577.00"",""1,571.45"",""1,570.99"",""5,00,37,886"",""78,60,89,31,136.20"",""4,19,748"",""2,73,44,438"",""54.65"""																			
"HDFCBANK,""EQ"",""01-Sep-2023"",""1,571.45"",""1,571.00"",""1,579.00"",""1,559.35"",""1,573.75"",""1,574.70"",""1,569.33"",""2,16,13,388"",""33,91,85,08,405.30"",""4,50,304"",""1,17,12,682"",""54.19"""																			
"HDFCBANK,""EQ"",""04-Sep-2023"",""1,574.70"",""1,590.00"",""1,591.45"",""1,574.90"",""1,584.50"",""1,584.55"",""1,582.03"",""1,25,36,819"",""19,83,36,66,505.30"",""2,36,702"",""68,78,890"",""54.87"""																			
"HDFCBANK,""EQ"",""05-Sep-2023"",""1,584.55"",""1,588.40"",""1,588.40"",""1,570.60"",""1,575.00"",""1,574.90"",""1,576.27"",""1,93,56,041"",""30,51,03,14,620.10"",""4,07,651"",""73,19,213"",""37.81"""																			
"HDFCBANK,""EQ"",""06-Sep-2023"",""1,574.90"",""1,576.80"",""1,600.00"",""1,574.90"",""1,599.00"",""1,595.50"",""1,588.41"",""2,81,60,455"",""44,73,03,93,184.30"",""3,94,705"",""1,02,22,093"",""36.30"""																			
